House,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
0,0.0,0.0,38,74540.85,38," $74,540.85 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,0,0.0,,,,,,,,,
Group 2,9,67327.85,,,,,,,,,
Group 3,29,7213.0,,,,,,,,,
Totals,38,74540.85,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 9 accounts | $67327.85 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1026388,Coastal Interiors (TX),DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,3190.0,14544.2,1,2,FALSE,N,FALSE
1026475,DAmore Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,485.0,10884.0,1,2,FALSE,N,FALSE
1026480,SK Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,3306.0,9113.0,3,11,FALSE,N,FALSE
1026457,Studio Eight Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,3886.0,9109.0,2,4,FALSE,N,FALSE
1026479,Kaycee Conallen Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,5684.4,6509.5,5,4,FALSE,N,FALSE
1026512,Christine Kommer Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,408.5,5445.0,1,4,FALSE,N,FALSE
1026459,Sarah Bowman Spaces,DESIGN,DESIGN_FIRM,Group 2 High Potential,525.0,5247.0,1,3,FALSE,N,FALSE
1026414,STUDIO DIVO,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,560.0,3655.15,1,1,FALSE,N,FALSE
1026476,Maeve Design Collective,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,2821.0,0,3,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 29 accounts | $7213.00 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1026358,"Key Interiors Design, LLC",DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,2220.0,0,2,TRUE,N,FALSE
1026484,"Revival and Home, LLC",DESIGN,DESIGN_FIRM,Group 3 Medium Potential,0.0,1371.0,0,1,FALSE,Y,FALSE
1026493,Seachange Home,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,11227.7,1352.0,7,2,FALSE,N,FALSE
1026498,HONEST STRUGGLE,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,1259.0,0,1,FALSE,Y,FALSE
1026482,Lisa Price Interiors,DESIGN,DESIGN_FIRM,Group 3 Low Potential,2410.0,540.0,3,0,FALSE,Y,FALSE
1026504,Beverly Bradshaw Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,236.2,254.0,2,1,FALSE,Y,FALSE
1026496,Kelly Colquitt Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,217.0,0,2,TRUE,N,FALSE
1026360,Sea squared design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1026389,Ryan Miller Builders,DESIGN,ARCHITECT_BUILDER,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1026486,Sketch Design Co.,DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,782.0,0.0,1,0,FALSE,Y,FALSE
1026470,AMERICAN LEATHER,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,0.0,0.0,2,0,FALSE,N,FALSE
1026473,Brit Nelson Interiors,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1026291,MIX + MUSE Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1026467,Elements Corporation,DESIGN,DESIGN_FIRM,Group 3 Low Potential,6016.0,0.0,1,0,FALSE,Y,FALSE
1026464,Benson Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE
1026461,Design & Dwell Homes LLC,DESIGN,DESIGN_FIRM,Group 3 Low Potential,130.0,0.0,1,0,FALSE,Y,FALSE
1026458,LK Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,5640.0,0.0,2,0,FALSE,Y,FALSE
1026456,CCV INteriors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,730.0,0.0,1,0,FALSE,Y,FALSE
1026451,Sara Fant Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
