Rep Detail Report V2: Angela Esposito,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:43:50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Lost_Territory,Rev_Lost_Territory,Accounts_Lost_Floor_Active,Rev_Lost_Floor_Active,Accounts_Lost_Floor_Dormant,Rev_Lost_Floor_Dormant
573,282,541609.43,660637.25,2,151,-149,-26.0,669968.78,22681.0,647287.78,97.98,424,1307925.03,288,4115.9,282,335,39,0,0.0,151,22681.0,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,1,669968.78,0,0,,,,,,,,,,
Group 1 Low Potential: ,7,206418.61,0,0,,,,,,,,,,
Group 2 Low Potential: ,55,410343.21,0,0,,,,,,,,,,
Group 3 High Potential: ,342,17078.53,274,0,,,,,,,,,,
Group 3 Low Potential: ,19,4115.9,14,0,,,,,,,,,,
Totals,424,1307925.03,288,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 8 accounts | $876387.39 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
9999998,ENKAY InterCo,E-TAILER,SPECIALTY,Group 1 High Potential,Paul Baird,Angela Esposito,0.0,669968.78,0,1689,TRUE,N,FALSE,FALSE,N
1010977,Glave and Holmes Architecture,DESIGN,ARCHITECT_BUILDER,Group 1 Low Potential,Angela Esposito,Angela Esposito,29038.0,57408.79,11,3,FALSE,N,FALSE,FALSE,N
1027510,Design Build Concierge,DESIGN,ARCHITECT_BUILDER,Group 1 Low Potential,Angela Esposito,Angela Esposito,1165.0,36782.62,2,6,FALSE,N,FALSE,FALSE,N
1034975,Plexus r+d,DESIGN,ARCHITECT_BUILDER,Group 1 Low Potential,Angela Esposito,Angela Esposito,0.0,25747.4,0,8,FALSE,N,FALSE,FALSE,N
1023589,Diversified Resource Group,DESIGN,HOSPITALITY,Group 1 Low Potential,Angela Esposito,Angela Esposito,1080.0,24280.5,1,6,FALSE,N,FALSE,FALSE,N
1023536,SouthPark Interiors,DESIGN,DESIGN_FIRM,Group 1 Low Potential,Angela Esposito,Angela Esposito,7705.0,22442.7,17,36,FALSE,N,FALSE,FALSE,N
1000991,Price Modern,DESIGN,HOSPITALITY,Group 1 Low Potential,Angela Esposito,Angela Esposito,13753.97,21696.2,9,17,FALSE,N,FALSE,FALSE,N
1037127,Annali Interiors,DESIGN,DESIGN_FIRM,Group 1 Low Potential,Angela Esposito,Angela Esposito,0.0,18060.4,0,8,TRUE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 55 accounts | $410343.21 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1035672,OLT DESIGN,DESIGN,DESIGN_FIRM,Group 2 Low Potential,Angela Esposito,Angela Esposito,0.0,17475.0,0,1,TRUE,N,FALSE,FALSE,N
1036270,Cousins Properties (Tempe),DESIGN,ARCHITECT_BUILDER,Group 2 Low Potential,Angela Esposito,Angela Esposito,0.0,16766.0,0,4,TRUE,N,FALSE,FALSE,N
1022140,Pixel Design Collaborative,DESIGN,DESIGN_FIRM,Group 2 Low Potential,Angela Esposito,Angela Esposito,2808.0,16313.1,3,8,FALSE,N,FALSE,FALSE,N
1003681,"ADM Associates, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 2 Low Potential,Angela Esposito,Angela Esposito,0.0,15853.45,0,3,FALSE,N,FALSE,FALSE,N
1024536,Uncommon Studios,DESIGN,HOSPITALITY,Group 2 Low Potential,Angela Esposito,Angela Esposito,7193.0,15819.94,3,7,FALSE,N,FALSE,FALSE,N
1017548,PMC Commercial Interiors Inc,DESIGN,ARCHITECT_BUILDER,Group 2 Low Potential,Angela Esposito,Angela Esposito,22034.0,15117.5,13,12,FALSE,N,FALSE,FALSE,N
1019160,Dwell Design Studio,DESIGN,DESIGN_FIRM,Group 2 Low Potential,Angela Esposito,Angela Esposito,1812.0,14513.59,6,0,FALSE,N,FALSE,FALSE,N
1027743,Turnerboone Atlanta,RETAIL,MULTIPLE_LOCATIONS,Group 2 Low Potential,Angela Esposito,Angela Esposito,435.0,14142.64,1,6,FALSE,N,FALSE,FALSE,N
1035006,Brock Contract Services,DESIGN,HOSPITALITY,Group 2 Low Potential,Angela Esposito,Angela Esposito,0.0,13870.0,1,0,FALSE,N,FALSE,FALSE,N
1034888,ARCHITECTUREFIRM,DESIGN,ARCHITECT_BUILDER,Group 2 Low Potential,Angela Esposito,Angela Esposito,0.0,13480.5,0,4,TRUE,N,FALSE,FALSE,N
1001623,Carlyn And Company,DESIGN,DESIGN_FIRM,Group 2 Low Potential,Angela Esposito,Angela Esposito,43562.01,12259.0,24,1,FALSE,N,FALSE,FALSE,N
1019009,"ONECBI, LLC   dba  CBI",DESIGN,DESIGN_FIRM,Group 2 Low Potential,Angela Esposito,Angela Esposito,0.0,12176.86,0,5,TRUE,N,FALSE,FALSE,N
1002257,Linowes Design Associates,DESIGN,HOSPITALITY,Group 2 Low Potential,Angela Esposito,Angela Esposito,7979.3,11375.5,2,4,FALSE,N,FALSE,FALSE,N
1004032,Patrick Sutton,DESIGN,HOSPITALITY,Group 2 Low Potential,Angela Esposito,Angela Esposito,0.0,9740.55,1,5,FALSE,N,FALSE,FALSE,N
1028104,Evergreen Building Systems LLC,DESIGN,ARCHITECT_BUILDER,Group 2 Low Potential,Angela Esposito,Angela Esposito,7169.0,9622.14,7,0,FALSE,N,FALSE,FALSE,N
1025845,"Munson Business Interiors, INC.",DESIGN,HOSPITALITY,Group 2 Low Potential,Angela Esposito,Angela Esposito,26862.0,9543.0,7,7,FALSE,N,FALSE,FALSE,N
1019060,Of Origin Design Studios,DESIGN,DESIGNER_INDEPENDENT,Group 2 Low Potential,Angela Esposito,Angela Esposito,1535.0,9257.0,2,3,FALSE,N,FALSE,FALSE,N
1037211,RDC Procurement,DESIGN,HOSPITALITY,Group 2 Low Potential,Angela Esposito,Angela Esposito,0.0,8223.6,0,2,TRUE,N,FALSE,FALSE,N
1027091,Journey East Hampton (hotel),DESIGN,HOSPITALITY,Group 2 Low Potential,Angela Esposito,Angela Esposito,4793.4,7836.0,3,5,FALSE,N,FALSE,FALSE,N
1035356,Starling Studio,DESIGN,DESIGN_FIRM,Group 2 Low Potential,Angela Esposito,Angela Esposito,0.0,7405.7,0,2,TRUE,N,FALSE,FALSE,N
1035362,Studio Partnership,DESIGN,HOSPITALITY,Group 2 Low Potential,Angela Esposito,Angela Esposito,0.0,7323.0,0,3,FALSE,N,FALSE,FALSE,N
