Rep Detail Report: Enricus Coone,,,,,,,,,,,,,,
Generated: 2025-12-18 06:57:19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
1733,69873.41,449181.01,1441,74772.87,292,374408.14,1548,31,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 2 Medium Potential: ,34,167343.61,0,,,,,,,,,,
Group 2 High Potential: ,23,142508.01,0,,,,,,,,,,
Group 3 Medium Potential: ,81,73584.77,76,,,,,,,,,,
Group 1 High Potential: ,1,41333.2,0,,,,,,,,,,
Group 3 High Potential: ,65,22230.42,2,,,,,,,,,,
Group 3 Low Potential: ,1529,2181.0,1363,,,,,,,,,,
Totals,1733,449181.01,1441,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | 41333.20 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1021781,Boyden Design & Consulting LLC,DESIGN,DESIGNER_INDEPENDENT,0.0,41333.2,0,11,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/1/2022,FALSE,70.2,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 57 accounts | 309851.62 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1015691,kishani perera inc,DESIGN,DESIGN_FIRM,0.0,13984.8,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/10/2020,FALSE,61.1,FALSE
1022623,Grace Atelier,DESIGN,DESIGNER_INDEPENDENT,0.0,13896.0,0,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/29/2025,TRUE,64.8,FALSE
1009609,Gina Wolleat - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,3884.4,13573.0,5,9,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/7/2020,FALSE,88.9,FALSE
1014600,Riverside Designers,DESIGN,DESIGN_FIRM,165.6,11885.0,1,15,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/26/2024,FALSE,85.6,FALSE
1016485,LJ Designs - TX,DESIGN,DESIGN_FIRM,0.0,10685.0,0,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/2/2020,FALSE,60.2,FALSE
1020992,The Staging Consultant,DESIGN,DESIGNER_INDEPENDENT,0.0,10196.1,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/11/2025,TRUE,43.6,FALSE
1022060,Nicole Shah Designs,DESIGN,DESIGNER_INDEPENDENT,0.0,9627.75,0,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/17/2022,FALSE,64.9,FALSE
1021970,Mote Studio,DESIGN,DESIGNER_INDEPENDENT,0.0,9355.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/29/2025,TRUE,37.7,FALSE
1005798,SKD Studios,RETAIL,SINGLE_LOCATION,0.0,8976.0,0,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/9/2020,FALSE,64.3,FALSE
1022473,POWELL BROWER INTERIORS,DESIGN,DESIGN_FIRM,0.0,8353.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/29/2025,TRUE,46.3,FALSE
1019291,Carr-Magee Interiors,DESIGN,DESIGN_FIRM,0.0,8247.0,0,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/3/2025,TRUE,54.3,FALSE
1023959,Meredith Parrish Design,DESIGN,DESIGNER_INDEPENDENT,0.0,7368.0,0,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/10/2023,FALSE,59.1,FALSE
1005474,Epic Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,7006.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/17/2023,FALSE,48.3,FALSE
1022633,Wendi Jay Design,DESIGN,DESIGNER_INDEPENDENT,0.0,6956.8,0,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/20/2022,FALSE,64.6,FALSE
1020293,Justin Van Breda London,DESIGN,DESIGN_FIRM,0.0,6931.0,0,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/5/2025,TRUE,43.8,FALSE
1024865,McKenzie Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,6856.1,0,5,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/13/2025,TRUE,55.3,FALSE
1017650,Stace's Spaces,DESIGN,DESIGN_FIRM,0.0,6610.76,0,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/15/2021,FALSE,71.6,FALSE
1018409,Lauri Design Studio,DESIGN,DESIGNER_INDEPENDENT,0.0,6241.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/22/2021,FALSE,51.0,FALSE
1019690,Casa Mata Interiors,DESIGN,DESIGN_FIRM,0.0,5975.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/16/2021,FALSE,49.9,FALSE
1017749,"Dara Beitler Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,0.0,5776.26,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/11/2021,FALSE,52.5,FALSE
1021547,Dear Charley Designs,DESIGN,DESIGNER_INDEPENDENT,0.0,5385.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/27/2025,TRUE,39.2,FALSE
1009215,Terri Ervin - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,329.0,5147.75,2,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/18/2020,FALSE,78.8,FALSE
1034882,Debbie Cruz Designs LLC Decorating Den Interiors,DESIGN,DESIGN_FIRM,0.0,5135.5,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/10/2024,FALSE,63.1,FALSE
1022063,CALAFIA Home Design,DESIGN,DESIGNER_INDEPENDENT,0.0,5055.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/11/2025,TRUE,46.2,FALSE
1020551,Katie Rainey Design,DESIGN,DESIGNER_INDEPENDENT,0.0,4903.5,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/29/2021,FALSE,62.9,FALSE
1019239,"Happily, LLC DBA Maddox & Rose",DESIGN,DESIGN_FIRM,0.0,4690.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/14/2021,FALSE,41.6,FALSE
1010903,Suzan Wemlinger - Decorating Den,DESIGN,DESIGN_FIRM,6808.5,4552.0,4,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/3/2020,FALSE,58.6,FALSE
1025212,Ash Design Partners,DESIGN,DESIGNER_INDEPENDENT,0.0,4170.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/31/2023,FALSE,52.9,FALSE
1019411,b. blanton design,DESIGN,DESIGNER_INDEPENDENT,0.0,4039.0,0,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/17/2021,FALSE,52.2,FALSE
1019418,Jen Reagan Interior Design,DESIGN,DESIGNER_INDEPENDENT,0.0,3873.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/28/2022,FALSE,52.3,FALSE
1001925,"Lou Lou's Decor, Inc",RETAIL,SINGLE_LOCATION,0.0,3803.0,0,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/10/2019,FALSE,63.9,FALSE
1020446,GTL Architects,DESIGN,DESIGN_FIRM,0.0,3785.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/23/2023,FALSE,48.9,FALSE
1016978,Lara Lee Home,DESIGN,DESIGNER_INDEPENDENT,0.0,3712.5,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/23/2020,FALSE,49.9,FALSE
1023883,Wing Home Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,3690.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/30/2025,TRUE,50.8,FALSE
1025391,Landed At Home,DESIGN,DESIGNER_INDEPENDENT,0.0,3550.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/4/2025,TRUE,45.0,FALSE
1021755,Mad Luxe Design,DESIGN,DESIGNER_INDEPENDENT,0.0,3490.0,0,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/26/2022,FALSE,48.3,FALSE
1015954,J. Ruby Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,3477.0,0,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/21/2020,FALSE,45.8,FALSE
1023477,Residents Understood,DESIGN,DESIGN_FIRM,0.0,3462.0,0,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/12/2025,TRUE,47.9,FALSE
1021354,Just Feels Like Home Corp,RETAIL,SINGLE_LOCATION,0.0,3425.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/18/2022,FALSE,54.3,FALSE
1024069,Robin Norwood Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,3410.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/10/2025,TRUE,49.3,FALSE
1019821,"AWJ Designs, LLC",DESIGN,DESIGNER_INDEPENDENT,0.0,3359.7,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/20/2025,TRUE,46.2,FALSE
1017556,Bella Mancini Design,DESIGN,DESIGN_FIRM,0.0,3333.0,0,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/28/2020,FALSE,43.8,FALSE
1013841,Himatsingka - PH Factor,RETAIL,SINGLE_LOCATION,0.0,3271.5,0,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/5/2022,FALSE,49.8,FALSE
1003085,Willis Furniture (VA),RETAIL,SINGLE_LOCATION,0.0,3150.0,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/9/2020,FALSE,58.0,FALSE
1016648,Moody Design Group,DESIGN,DESIGNER_INDEPENDENT,0.0,3122.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/4/2020,FALSE,54.6,FALSE
1020704,"Rae Marie Interiors, Inc.",DESIGN,DESIGNER_INDEPENDENT,0.0,2920.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/15/2021,FALSE,48.7,FALSE
1021521,Dove Mountain Homes,DESIGN,ARCHITECT_BUILDER,0.0,2908.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/15/2025,TRUE,46.4,FALSE
1019256,House of Amelia,DESIGN,DESIGNER_INDEPENDENT,0.0,2817.6,0,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/11/2025,TRUE,59.6,FALSE
1017541,"Laura Motley Design, LLC",DESIGN,DESIGNER_INDEPENDENT,0.0,2811.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/3/2021,FALSE,53.7,FALSE
1010039,Abby Industries - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,3862.0,2790.0,4,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/5/2019,FALSE,58.3,FALSE
1022801,Ampersand Living,DESIGN,DESIGN_FIRM,0.0,2687.0,0,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/20/2025,TRUE,50.0,FALSE
1019498,Belle Decors,DESIGN,DESIGNER_INDEPENDENT,0.0,2670.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/16/2021,FALSE,53.1,FALSE
1023618,Edith Gregson Interiors,DESIGN,DESIGN_FIRM,0.0,2618.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/18/2025,TRUE,47.9,FALSE
1019632,K Pratt Design,DESIGN,DESIGNER_INDEPENDENT,0.0,2601.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/7/2021,FALSE,46.1,FALSE
1019951,Elkins & Co Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,2515.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/30/2022,FALSE,50.7,FALSE
1025057,"BAY WILLOW LIVING,LLC",DESIGN,DESIGNER_INDEPENDENT,0.0,2515.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/22/2025,TRUE,44.8,FALSE
1001434,Anne Markstein Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,2508.0,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/31/2020,FALSE,55.2,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 234 accounts | 23223.32 revenue,,,,,,,,,,,,,,
(Non-DESIGN accounts or New 2025 customers - protected from floor),,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1023104,Lisa Marra Designs,DESIGN,DESIGNER_INDEPENDENT,0.0,2175.0,0,1,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,6/6/2025,TRUE,46.7,FALSE
1024981,I.D Studio,DESIGN,DESIGN_FIRM,0.0,2010.72,0,1,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,4/5/2025,TRUE,48.3,FALSE
1025716,Studio Broad,RETAIL,SINGLE_LOCATION,0.0,1508.0,0,1,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,6/12/2025,TRUE,61.4,FALSE
1018787,Amanda Boyd Interiors,RETAIL,SINGLE_LOCATION,0.0,1290.0,0,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,3/3/2021,FALSE,41.9,FALSE
1015612,The Light Center,RETAIL,SINGLE_LOCATION,0.0,1200.0,0,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,2/27/2020,FALSE,51.9,FALSE
1023817,Studio Athena,DESIGN,DESIGN_FIRM,0.0,1158.0,0,3,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,4/4/2025,TRUE,57.1,FALSE
