REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
120,233747.99,258135.61,-27,-4340.2,93," $253,795.41 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,4,168642.68,,,,,,,,,
Group 2,9,75948.72,,,,,,,,,
Group 3,80,9204.01,,,,,,,,,
Totals,93,253795.41,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 4 accounts | $168642.68 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1007999,"Vida Design, LLC",DESIGN,DESIGN_FIRM,Group 1 Medium Potential,139084.72,71125.5,57,49,FALSE,N,FALSE
1028058,LRS Architects,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,0.0,37539.0,0,6,FALSE,N,FALSE
1026859,Etc. Studio,DESIGN,DESIGN_FIRM,Group 1 High Potential,13029.0,34627.18,6,18,FALSE,N,FALSE
1021531,DAHLIN Group,DESIGN,ARCHITECT_BUILDER,Group 1 High Potential,0.0,25351.0,0,20,TRUE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 9 accounts | $75948.72 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1037481,"MJS Commercial Properties, LLC",DESIGN,ARCHITECT_BUILDER,Group 2 High Potential,0.0,17009.0,0,3,TRUE,N,FALSE
1009986,SEVA Home,DESIGN,HOSPITALITY,Group 2 Medium Potential,10078.5,12156.0,6,9,FALSE,N,FALSE
1036320,MG West,DESIGN,HOSPITALITY,Group 2 High Potential,0.0,10134.0,0,3,TRUE,N,FALSE
1027009,54 Four Commercial Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1487.72,8030.0,2,3,FALSE,N,FALSE
1017882,Facility Designs,DESIGN,DESIGN_FIRM,Group 2 High Potential,910.0,7495.9,1,4,FALSE,N,FALSE
1016259,Severin Group,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,659.0,7142.82,2,15,FALSE,N,FALSE
1035277,Presidio Lodging,DESIGN,HOSPITALITY,Group 2 Medium Potential,0.0,6474.0,2,1,FALSE,N,FALSE
1014917,One Workplace L Ferrari LLC,DESIGN,DESIGN_FIRM,Group 2 High Potential,1370.0,3845.0,3,3,FALSE,N,FALSE
1038679,Steinhauer Properties SoDo Builders,DESIGN,HOSPITALITY,Group 2 High Potential,0.0,3662.0,0,1,TRUE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 80 accounts | $9204.01 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
