Rep Detail Report V2: Cindy Wight,,,,,,,,,,,,,,,
Generated: 2026-01-07 14:11:39,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
182,13,1944387.3,2091560.54,0,26,-26,-14.29,0.0,16850.6,-16850.6,-0.81,156,2074709.94,9,5324.74,10,19,5,1,0.0,23,16850.6,2,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,27,1098647.67,0,0,,,,,,,,,,
Group 1 Medium Potential: ,9,264409.78,0,0,,,,,,,,,,
Group 2 High Potential: ,30,293922.04,0,0,,,,,,,,,,
Group 2 Medium Potential: ,58,401399.21,0,0,,,,,,,,,,
Group 2 Low Potential: ,1,2590.0,0,0,,,,,,,,,,
Group 3 High Potential: ,9,5477.5,0,0,,,,,,,,,,
Group 3 Medium Potential: ,6,8238.74,3,0,,,,,,,,,,
Group 3 Low Potential: ,14,25.0,6,0,,,,,,,,,,
nan: ,2,0.0,0,0,,,,,,,,,,
Totals,156,2074709.94,9,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 36 accounts | $1363057.45 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1000888.0,Designer's Resource Collection,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,110341.45,110638.92,97,115,FALSE,N,FALSE,FALSE,N
1018040.0,"JCF Wholesale Foods, Inc",DESIGN,DESIGN_FIRM,Group 1 High Potential,73741.91,87573.58,50,27,FALSE,N,FALSE,FALSE,N
1001014.0,Creative Design Consultants,DESIGN,DESIGN_FIRM,Group 1 High Potential,28308.0,78147.3,31,50,FALSE,N,FALSE,FALSE,N
1009010.0,Denise Morrison Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,22784.67,71956.04,11,30,FALSE,N,FALSE,FALSE,N
1004921.0,Ryan Young Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,56453.27,68139.69,61,78,FALSE,N,FALSE,FALSE,N
1007784.0,Designer's Resource Collection (SD),DESIGN,DESIGN_FIRM,Group 1 High Potential,61301.49,62609.31,48,56,FALSE,N,FALSE,FALSE,N
1006007.0,"27 Diamonds, Inc.",DESIGN,DESIGN_FIRM,Group 1 Medium Potential,63567.46,58936.32,60,54,FALSE,N,FALSE,FALSE,N
1002031.0,Nativa,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,27519.0,53418.75,22,43,FALSE,N,FALSE,FALSE,N
1024362.0,Lexington Home Brands~Tommy Bahama (Palm Desert),RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,41663.0,50834.4,36,54,FALSE,N,FALSE,FALSE,N
1005940.0,Intimate Living Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,58913.13,48914.88,22,16,FALSE,N,FALSE,FALSE,N
1026157.0,"DESIGNER GALLERY, INC",RETAIL,SINGLE_LOCATION,Group 1 High Potential,9178.0,47786.28,10,14,FALSE,N,FALSE,FALSE,N
1004059.0,Brickhouse Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,21873.3,42279.58,18,14,FALSE,N,FALSE,FALSE,N
1011540.0,Lindye Galloway Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,25522.2,37123.49,13,22,FALSE,N,FALSE,FALSE,N
1002390.0,Advantage Design Partners,DESIGN,DESIGN_FIRM,Group 1 High Potential,4732.0,34504.0,4,9,FALSE,N,FALSE,FALSE,N
1001666.0,"Design Tec, Inc",DESIGN,DESIGN_FIRM,Group 1 Medium Potential,48238.53,33654.5,34,21,FALSE,N,FALSE,FALSE,N
