Rep Detail Report V2: Cynthia Guthrie,,,,,,,,,,,,,,,
Generated: 2026-01-07 14:11:39,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
137,64,228969.92,166075.99,0,0,0,0.0,0.0,0.0,0.0,0.0,137,166075.99,97,6522.05,64,104,9,0,0.0,0,0.0,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 Medium Potential: ,1,26266.0,0,0,,,,,,,,,,
Group 2 High Potential: ,6,60852.4,0,0,,,,,,,,,,
Group 2 Medium Potential: ,11,59800.64,0,0,,,,,,,,,,
Group 2 Low Potential: ,1,3933.0,0,0,,,,,,,,,,
Group 3 High Potential: ,80,8701.9,61,0,,,,,,,,,,
Group 3 Medium Potential: ,5,6372.05,5,0,,,,,,,,,,
Group 3 Low Potential: ,32,150.0,31,0,,,,,,,,,,
nan: ,1,0.0,0,0,,,,,,,,,,
Totals,137,166075.99,97,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $26266.00 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1000623.0,The Villages Commercial Design,DESIGN,HOSPITALITY,Group 1 Medium Potential,20689.0,26266.0,6,8,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 18 accounts | $124586.04 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1002889.0,Mountainside Design,DESIGN,HOSPITALITY,Group 2 High Potential,7766.5,15902.2,7,6,FALSE,N,FALSE,FALSE,N
1036469.0,Travel + Leisure Operations Inc.,DESIGN,HOSPITALITY,Group 2 High Potential,0.0,14898.85,0,11,TRUE,N,FALSE,FALSE,N
1035393.0,H Supply,RETAIL,SINGLE_LOCATION,Group 2 High Potential,0.0,11982.35,0,4,TRUE,N,FALSE,FALSE,N
1026116.0,Gatlin Development Company Inc,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,6934.0,11335.0,3,2,FALSE,N,FALSE,FALSE,N
1037363.0,Vault Design Group,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,10000.0,0,3,TRUE,N,FALSE,FALSE,N
1011376.0,"JKL Design Group, Inc.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,7660.5,8850.2,5,8,FALSE,N,FALSE,FALSE,N
1023702.0,Carroll Adams Group,DESIGN,HOSPITALITY,Group 2 Medium Potential,3615.0,8632.8,1,2,FALSE,N,FALSE,FALSE,N
1009794.0,The Design Resource Group,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,7393.0,5280.0,9,2,FALSE,N,FALSE,FALSE,N
1027936.0,SkyCon Group LLC,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,2160.0,5030.0,2,3,FALSE,N,FALSE,FALSE,N
1026929.0,The Schimberg Group,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,0.0,4651.32,0,1,FALSE,N,FALSE,FALSE,N
1036951.0,Chris Rossi Studio,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,4108.0,0,1,TRUE,N,FALSE,FALSE,N
1027451.0,HPA Design Group,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,3961.0,0,5,TRUE,N,FALSE,FALSE,N
1035189.0,Gensler- Tampa,DESIGN,DESIGN_FIRM,Group 2 Low Potential,0.0,3933.0,1,0,FALSE,N,FALSE,FALSE,N
1013402.0,Beasley and Henley Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3028.0,3605.0,1,4,FALSE,N,FALSE,FALSE,N
1012422.0,Peacock + Lewis Architects Planners,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,2725.0,3414.32,3,2,FALSE,N,FALSE,FALSE,N
1019591.0,Beyer Brown & Associates LP,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,3333.0,1,0,FALSE,N,FALSE,FALSE,N
1024826.0,Circuit Florida Inc.,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,3140.0,2860.0,4,2,FALSE,N,FALSE,FALSE,N
