Rep Detail Report V2: Emily Cardassi,,,,,,,,,,,,,,,
Generated: 2025-12-21 19:02:48,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
131,2,1310464.53,1238417.29,0,30,-30,-22.9,0.0,11024.8,-11024.8,-0.89,101,1227392.49,0,0.0,0,14,4,2,0.0,28,11024.8,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,12,509069.8,0,0,,,,,,,,,,
Group 1 Medium Potential: ,10,295739.32,0,0,,,,,,,,,,
Group 2 High Potential: ,19,152880.12,0,0,,,,,,,,,,
Group 2 Medium Potential: ,36,255277.29,0,0,,,,,,,,,,
Group 2 Low Potential: ,1,3734.66,0,0,,,,,,,,,,
Group 3 High Potential: ,6,916.0,0,0,,,,,,,,,,
Group 3 Medium Potential: ,6,8868.3,0,0,,,,,,,,,,
Group 3 Low Potential: ,11,907.0,0,0,,,,,,,,,,
Totals,101,1227392.49,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 22 accounts | $804809.12 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1008363,Warren Barnett Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,96307.5,93124.04,60,72,FALSE,N,FALSE,FALSE,N
1001654,Montgomery's Furniture Gallery,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,102641.9,90987.22,100,83,FALSE,N,FALSE,FALSE,N
1006823,"Dwellings 2, Inc.",RETAIL,SINGLE_LOCATION,Group 1 High Potential,36717.0,84014.85,39,46,FALSE,N,FALSE,FALSE,N
1000236,Martha O'Hara Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,62872.46,58371.81,44,47,FALSE,N,FALSE,FALSE,N
1000250,Woven Arts LLC,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,51103.23,43059.91,42,27,FALSE,N,FALSE,FALSE,N
1001994,Studio M Interiors LLC- Minn,DESIGN,DESIGN_FIRM,Group 1 High Potential,48743.5,41869.48,41,37,FALSE,N,FALSE,FALSE,N
1001713,Designs Of The Interior (Wisconsin),DESIGN,DESIGN_FIRM,Group 1 High Potential,25577.3,39346.0,27,21,FALSE,N,FALSE,FALSE,N
1027031,Erin Jean & Co,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,22940.0,39033.65,17,29,FALSE,N,FALSE,FALSE,N
1004607,Vault Interiors and Design LLC,RETAIL,SINGLE_LOCATION,Group 1 High Potential,3628.0,30746.8,4,6,FALSE,N,FALSE,FALSE,N
1011158,"Design House 605, LLC- SD",DESIGN,DESIGN_FIRM,Group 1 High Potential,10804.0,30267.2,5,14,FALSE,N,FALSE,FALSE,N
1002319,Zander's Interiors,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,37989.0,24807.5,17,16,FALSE,N,FALSE,FALSE,N
1015311,COI-Swan Studios,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,63690.17,22852.2,32,9,FALSE,N,FALSE,FALSE,N
1007397,Fringe Interior Design,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,23173.35,22484.0,22,17,FALSE,N,FALSE,FALSE,N
1004180,Miller's Furniture,RETAIL,SINGLE_LOCATION,Group 1 High Potential,24060.0,22311.4,22,22,FALSE,N,FALSE,FALSE,N
1006603,"Merriment, LLC",RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,43525.75,22097.2,28,15,FALSE,N,FALSE,FALSE,N
1002587,Scottie's Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,34169.59,21729.8,27,22,FALSE,N,FALSE,FALSE,N
1000249,"Walsh Design Group, DBA. Martin Patrick 3",RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,27451.45,21098.0,14,11,FALSE,N,FALSE,FALSE,N
1000246,Sitting Room dba K R Design LLC,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,8645.0,20533.55,20,16,FALSE,N,FALSE,FALSE,N
1003337,A Sadowski Designs,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,32124.9,20205.25,27,15,FALSE,N,FALSE,FALSE,N
1012626,Vela Creative,DESIGN,DESIGN_FIRM,Group 1 High Potential,2780.0,18955.96,2,10,FALSE,N,FALSE,FALSE,N
1007778,Peabody's Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,12657.0,18857.9,12,13,FALSE,N,FALSE,FALSE,N
1008098,Silver Leaf Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,2031.0,18055.4,2,7,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 56 accounts | $411892.07 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1021525,DesignWell Interiors,RETAIL,SINGLE_LOCATION,Group 2 High Potential,18289.0,17123.6,20,18,FALSE,N,FALSE,FALSE,N
1000219,Dwelling Designs,DESIGN,DESIGN_FIRM,Group 2 High Potential,5509.0,16506.11,6,7,FALSE,N,FALSE,FALSE,N
1002341,"Designers 2, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,30704.0,16089.5,28,6,FALSE,N,FALSE,FALSE,N
1000259,Haven Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,23192.47,15606.05,21,10,FALSE,N,FALSE,FALSE,N
1002451,Traditions Ltd.,RETAIL,MULTIPLE_LOCATIONS,Group 2 Medium Potential,13059.9,14742.0,15,11,FALSE,N,FALSE,FALSE,N
1002294,Mimiworks,DESIGN,DESIGN_FIRM,Group 2 High Potential,13211.24,14476.1,16,14,FALSE,N,FALSE,FALSE,N
1003167,"Spaces, Inc.",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,16222.0,14140.9,12,10,FALSE,N,FALSE,FALSE,N
1003021,Rubin's,RETAIL,MULTIPLE_LOCATIONS,Group 2 High Potential,10478.26,13510.46,26,22,FALSE,N,FALSE,FALSE,N
1010816,Karen Kempf Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,14297.0,12996.33,7,6,FALSE,N,FALSE,FALSE,N
1015282,Brick+Linen,DESIGN,DESIGN_FIRM,Group 2 High Potential,11067.88,12627.4,34,16,FALSE,N,FALSE,FALSE,N
1000263,Manhattan Textiles Inc,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,20611.8,12443.0,18,11,FALSE,N,FALSE,FALSE,N
1021580,DWELL44,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,14277.0,12399.5,7,12,FALSE,N,FALSE,FALSE,N
1018365,CENTURY HOUSE INC.,RETAIL,SINGLE_LOCATION,Group 2 High Potential,13460.9,11213.6,14,11,FALSE,N,FALSE,FALSE,N
1011446,Interiors on Madison,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,6528.5,10868.0,3,10,FALSE,N,FALSE,FALSE,N
1022795,Katie Kern Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,5302.7,10345.0,7,5,FALSE,N,FALSE,FALSE,N
1004606,"In'spier, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,8400.0,9571.0,2,6,FALSE,N,FALSE,FALSE,N
1009100,Inspired,RETAIL,SINGLE_LOCATION,Group 2 High Potential,1950.3,9227.0,5,4,FALSE,N,FALSE,FALSE,N
1006973,"Inspired Spaces, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,6561.4,9094.5,4,10,FALSE,N,FALSE,FALSE,N
1018491,Ruby + Suede,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4319.5,8972.9,6,7,FALSE,N,FALSE,FALSE,N
1020508,Curated,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10471.8,8411.0,8,2,FALSE,N,FALSE,FALSE,N
1002758,Mcneal and Friends,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,12364.48,8370.3,15,10,FALSE,N,FALSE,FALSE,N
1026898,Birchbark Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,12718.0,8218.0,8,5,FALSE,N,FALSE,FALSE,N
1020235,Studio M Interiors LLC- Lake Geneva,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,5795.81,7445.0,12,2,FALSE,N,FALSE,FALSE,N
1008015,Martha Dayton Design,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,14436.27,7004.99,11,7,FALSE,N,FALSE,FALSE,N
1010617,Verdigris Interior Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,3606.0,6229.08,6,10,FALSE,N,FALSE,FALSE,N
1001128,Paper Dolls Home Furnishings- WIS,RETAIL,SINGLE_LOCATION,Group 2 High Potential,1907.0,6021.0,3,7,FALSE,N,FALSE,FALSE,N
1020352,INDICIA INTERIOR DESIGN & FURNISHINGS,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4426.2,5940.56,3,2,FALSE,N,FALSE,FALSE,N
1003395,"Milwaukee Design Collection, LLC",RETAIL,SINGLE_LOCATION,Group 2 High Potential,877.0,5885.5,2,8,FALSE,N,FALSE,FALSE,N
1021117,MK Redesign,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,5659.0,0,3,FALSE,N,FALSE,FALSE,N
1035411,Floors Unlimited Carpet One Floor & Home,RETAIL,SINGLE_LOCATION,Group 2 High Potential,0.0,5374.28,0,4,TRUE,N,FALSE,FALSE,N
1001251,Design Element (MN),DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4183.6,5320.0,3,6,FALSE,N,FALSE,FALSE,N
1021197,"Mojo Home Interiors, Inc.",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,330.0,5251.31,2,7,FALSE,N,FALSE,FALSE,N
1006308,Interior Impressions,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,2573.0,5249.0,5,4,FALSE,N,FALSE,FALSE,N
1006721,"Bridgets Room, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,2641.5,5053.4,5,4,FALSE,N,FALSE,FALSE,N
1017358,Sprinkman Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,1430.5,4956.5,3,5,FALSE,N,FALSE,FALSE,N
1019243,Jaimie Nelson Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,555.0,4347.15,1,1,FALSE,N,FALSE,FALSE,N
1017150,Tim Ricker Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2830.0,4156.0,2,6,FALSE,N,FALSE,FALSE,N
1012395,Friese-Mier,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,2288.0,4136.5,2,4,FALSE,N,FALSE,FALSE,N
1000937,Vivid Home,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,3365.0,3801.0,2,3,FALSE,N,FALSE,FALSE,N
1017347,"G.Furnishings, llc / DBA ghome",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,8082.9,3798.0,13,4,FALSE,N,FALSE,FALSE,N
1004858,"Design A La Mode, Inc.",RETAIL,SINGLE_LOCATION,Group 2 Low Potential,7045.0,3734.66,4,1,FALSE,N,FALSE,FALSE,N
1002373,Collaborative Design,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,7250.0,3715.0,3,2,FALSE,N,FALSE,FALSE,N
1021597,Ann Kottler Home,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3087.5,3592.5,6,2,FALSE,N,FALSE,FALSE,N
1003993,Grace Hill Design,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,2161.0,3335.3,4,7,FALSE,N,FALSE,FALSE,N
1025639,"Black Mulberry Interiors, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,-5073.5,3331.0,2,2,FALSE,N,FALSE,FALSE,N
1008076,Interiors By France,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,0.0,3230.0,0,1,FALSE,N,FALSE,FALSE,N
1025915,One of a Kind Interior Design (WI),DESIGN,DESIGN_FIRM,Group 2 Medium Potential,326.0,3147.0,1,2,FALSE,N,FALSE,FALSE,N
1015933,Talley Jane Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,17532.4,3037.0,15,3,FALSE,N,FALSE,FALSE,N
1017979,Refined Renovations (WI),DESIGN,DESIGN_FIRM,Group 2 Medium Potential,5226.0,2984.0,4,3,FALSE,N,FALSE,FALSE,N
1012197,The Source Room,DESIGN,DESIGN_FIRM,Group 2 High Potential,3296.0,2900.0,4,2,FALSE,N,FALSE,FALSE,N
1023187,Ellington and co,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3311.28,2876.25,2,2,FALSE,N,FALSE,FALSE,N
1015468,Discrete Designs,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,847.0,2778.5,2,2,FALSE,N,FALSE,FALSE,N
1011922,Eminent Interior Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,1739.72,2774.7,3,7,FALSE,N,FALSE,FALSE,N
1038052,Dewitt Designs Inc,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,2686.64,0,2,TRUE,N,FALSE,FALSE,N
1000244,Romens,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,590.0,2669.0,1,3,FALSE,N,FALSE,FALSE,N
1000821,Camelot Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,10616.3,2520.0,18,12,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 23 accounts | $10691.30 revenue,,,,,,,,,,,,,,,
(Protected accounts - not flagged for floor removal),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1027057,Leona Rose,RETAIL,MULTIPLE_LOCATIONS,Group 3 Medium Potential,9713.0,2420.0,14,3,FALSE,N,FALSE,FALSE,N
1001611,Ken Michaels Furniture,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,2670.0,1805.0,2,1,FALSE,N,FALSE,FALSE,N
1001460,L.P. Mooradian Co,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,0.0,1752.0,0,3,FALSE,N,FALSE,FALSE,N
1002934,"Johnson Furniture, Mattress and Int Design",RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,1930.5,1581.3,3,2,FALSE,N,FALSE,FALSE,N
1016449,Advantage Flooring & Design,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,1105.07,1260.0,1,1,FALSE,N,FALSE,FALSE,N
1005307,"Tucker Thomas Interior Design, LLC",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,4256.8,907.0,4,1,FALSE,N,FALSE,FALSE,N
