Rep Detail Report V2: Enricus Coone,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:43:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
611,3397995.4,648474.14,317,274066.0,2,0.0,0,0.0,286,31,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 3 Medium Potential: ,164,228260.5,0,159,,,,,,,,,,
Group 2 Medium Potential: ,34,167343.61,0,0,,,,,,,,,,
Group 2 High Potential: ,23,142508.01,0,0,,,,,,,,,,
Group 3 Low Potential: ,325,48722.1,2,157,,,,,,,,,,
Group 1 High Potential: ,1,41333.2,0,0,,,,,,,,,,
Group 3 High Potential: ,64,20306.72,0,1,,,,,,,,,,
Totals,611,648474.14,2,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $41333.20 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1021781,Boyden Design & Consulting LLC,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,Enricus Coone,Enricus Coone,0.0,41333.2,0,11,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 57 accounts | $309851.62 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1015691,kishani perera inc,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,13984.8,0,3,FALSE,N,FALSE,FALSE,N
1022623,Grace Atelier,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,13896.0,0,3,TRUE,N,FALSE,FALSE,N
1009609,Gina Wolleat - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,3884.4,13573.0,5,9,FALSE,N,FALSE,FALSE,N
1014600,Riverside Designers,DESIGN,DESIGN_FIRM,Group 2 High Potential,Enricus Coone,Enricus Coone,165.6,11885.0,1,15,FALSE,N,FALSE,FALSE,N
1016485,LJ Designs - TX,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,10685.0,0,2,FALSE,N,FALSE,FALSE,N
1020992,The Staging Consultant,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,10196.1,0,1,TRUE,N,FALSE,FALSE,N
1022060,Nicole Shah Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,9627.75,0,6,FALSE,N,FALSE,FALSE,N
1021970,Mote Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,9355.0,0,1,TRUE,N,FALSE,FALSE,N
1005798,SKD Studios,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,8976.0,0,6,FALSE,N,FALSE,FALSE,N
1022473,POWELL BROWER INTERIORS,DESIGN,DESIGN_FIRM,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,8353.0,0,1,TRUE,N,FALSE,FALSE,N
1019291,Carr-Magee Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,8247.0,0,2,TRUE,N,FALSE,FALSE,N
1023959,Meredith Parrish Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,7368.0,0,6,FALSE,N,FALSE,FALSE,N
1005474,Epic Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,7006.0,0,1,FALSE,N,FALSE,FALSE,N
