MD Rickers,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
132,602852.37,541001.96,-65,-26481.39,67," $514,520.57 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,8,227365.63,,,,,,,,,
Group 2,36,284597.14,,,,,,,,,
Group 3,23,2557.8,,,,,,,,,
Totals,67,514520.57,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 8 accounts | $227365.63 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1013347.0,NCM Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,24053.0,51334.0,14,28,FALSE,N,FALSE
1012115.0,Jeanne Rapone Designs DBA Centerline Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,34281.48,27631.0,23,22,FALSE,N,FALSE
1007821.0,Stowe Kitchen Bath and Linens,RETAIL,SINGLE_LOCATION,Group 1 High Potential,26561.8,26218.7,21,18,FALSE,N,FALSE
1015749.0,Teaselwood Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,17162.0,26054.7,9,14,FALSE,N,FALSE
1011390.0,Summer House Furnishings,DESIGN,DESIGN_FIRM,Group 1 High Potential,19202.0,25590.33,14,16,FALSE,N,FALSE
1009887.0,Brenna B Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,15513.0,24751.5,10,20,FALSE,N,FALSE
1015097.0,"Home, Llc",RETAIL,SINGLE_LOCATION,Group 1 High Potential,12734.54,23622.0,12,23,FALSE,N,FALSE
