Rep Detail Report V2: Indy Carroll,,,,,,,,,,,,,,,
Generated: 2026-01-07 14:11:40,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
656,427,0.0,55101.1,8,7,1,0.15,33896.29,0.0,33896.29,61.52,657,88997.39,392,0.0,427,595,162,7,0.0,0,0.0,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 Medium Potential: ,1,34220.29,0,0,,,,,,,,,,
Group 2 High Potential: ,5,18572.5,0,0,,,,,,,,,,
Group 3 High Potential: ,583,36528.6,392,0,,,,,,,,,,
Group 3 Low Potential: ,7,-324.0,0,0,,,,,,,,,,
nan: ,61,0.0,0,0,,,,,,,,,,
Totals,657,88997.39,392,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $34220.29 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1024991.0,"InterScapes, Inc.",DESIGN,DESIGN_FIRM,Group 1 Medium Potential,10236.0,34220.29,5,0,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 5 accounts | $18572.50 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1037715.0,"Carol Ann Falso Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,4498.0,0,3,TRUE,N,FALSE,FALSE,N
1037686.0,Erin Stephens Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,4180.0,0,4,TRUE,N,FALSE,FALSE,N
1038475.0,Villa Hygge Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,3422.0,0,3,TRUE,N,FALSE,FALSE,N
1037450.0,Nicole Belue Co DBA Cole Home,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,3314.0,0,4,TRUE,N,FALSE,FALSE,N
1037649.0,Emilie Pires LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,3158.5,0,6,TRUE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 198 accounts | $36204.60 revenue,,,,,,,,,,,,,,,
(Protected accounts - not flagged for floor removal),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1037284.0,CPB Interiors + Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1855.0,0,1,TRUE,N,FALSE,FALSE,N
1038205.0,Outlier Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1811.0,0,1,TRUE,N,FALSE,FALSE,N
1038085.0,A Boheme Design Store,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,1640.0,0,1,TRUE,N,FALSE,FALSE,N
1037025.0,Flair Floral and Event Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1640.0,0,2,TRUE,N,FALSE,FALSE,N
1037917.0,A Candle in the Night,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1580.0,0,1,TRUE,N,FALSE,FALSE,N
1037078.0,RP design group,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1560.0,0,1,TRUE,N,FALSE,FALSE,N
1038713.0,Frye Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1440.0,0,1,TRUE,N,FALSE,FALSE,N
1037318.0,Kelly Ram Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1350.0,0,1,TRUE,N,FALSE,FALSE,N
1038154.0,Michele Schrader Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1320.0,0,1,TRUE,N,FALSE,FALSE,N
1037604.0,Rena Reagin Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1245.0,0,1,TRUE,N,FALSE,FALSE,N
1037395.0,Price Less Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1215.0,0,1,TRUE,N,FALSE,FALSE,N
1037974.0,eliana interior design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1130.0,0,1,TRUE,N,FALSE,FALSE,N
1038148.0,"Tulip Studio, INC",DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1100.0,0,1,TRUE,N,FALSE,FALSE,N
1037110.0,Lawrence Industries,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,1076.5,0,2,TRUE,N,FALSE,FALSE,N
1037950.0,LSM Interiors Inc,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1035.0,0,2,TRUE,N,FALSE,FALSE,N
1037968.0,"Andrea Hurt Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,980.0,0,1,TRUE,N,FALSE,FALSE,N
1037681.0,"Jana Gray, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,900.0,0,1,TRUE,N,FALSE,FALSE,N
1037433.0,heather j. adler design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,853.0,0,1,TRUE,N,FALSE,FALSE,N
1037023.0,studio jLd,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,822.5,0,2,TRUE,N,FALSE,FALSE,N
1037684.0,Keri Feeney Home,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,785.0,0,1,TRUE,N,FALSE,FALSE,N
1037473.0,The Dwelling Co. Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,780.0,0,1,TRUE,N,FALSE,FALSE,N
1037809.0,"SANDY STUDIOS, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,740.0,0,1,TRUE,N,FALSE,FALSE,N
1037437.0,Asia Gabrielle Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,720.0,0,1,TRUE,N,FALSE,FALSE,N
1038088.0,Acorn Home & Garden,RETAIL,SINGLE_LOCATION,Group 3 High Potential,0.0,695.0,0,1,TRUE,N,FALSE,FALSE,N
1038009.0,Hammock Decor,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,612.1,0,2,TRUE,N,FALSE,FALSE,N
1037446.0,Melissa Stammer Incorporated,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,596.0,0,1,TRUE,N,FALSE,FALSE,N
1036934.0,Bridgeman Accessories,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,595.0,0,3,TRUE,N,FALSE,FALSE,N
1037669.0,Cole & Co. Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,595.0,0,1,TRUE,N,FALSE,FALSE,N
1037254.0,Cardinal Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,590.0,0,1,TRUE,N,FALSE,FALSE,N
1037584.0,Music City Interiors/Southern English INC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,525.0,0,1,TRUE,N,FALSE,FALSE,N
1037137.0,Elisabeth Theiss Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,510.0,0,1,TRUE,N,FALSE,FALSE,N
1038678.0,Schnabel Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,495.0,0,1,TRUE,N,FALSE,FALSE,N
1037638.0,Frank Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,490.0,0,1,TRUE,N,FALSE,FALSE,N
1038204.0,Sun Robin Inc,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,424.0,0,2,TRUE,N,FALSE,FALSE,N
1038159.0,Studio K Interiors,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,350.0,0,1,TRUE,N,FALSE,FALSE,N
1038574.0,Shirley Bolduc Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,292.0,0,1,TRUE,N,FALSE,FALSE,N
1038236.0,Anne Alexander Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,283.5,0,1,TRUE,N,FALSE,FALSE,N
1037722.0,JMR Art and Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,240.0,0,1,TRUE,N,FALSE,FALSE,N
1038186.0,Rohde Studio,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,225.0,0,1,TRUE,N,FALSE,FALSE,N
1038487.0,Van Liew Home Improvement,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,205.0,0,2,TRUE,N,FALSE,FALSE,N
1038462.0,Virago Art and Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,200.0,0,0,TRUE,N,FALSE,FALSE,N
1038095.0,Motta Gemma Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,175.0,0,0,TRUE,N,FALSE,FALSE,N
1038518.0,Everett King Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,160.0,0,1,TRUE,N,FALSE,FALSE,N
1037478.0,Jessica Steinbrink Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,159.0,0,1,TRUE,N,FALSE,FALSE,N
1037380.0,James Island Farmacy LLC,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,150.0,0,0,TRUE,N,FALSE,FALSE,N
1038212.0,Bridgette Meyer Design and Fine Art,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,150.0,0,0,TRUE,N,FALSE,FALSE,N
1037732.0,Karis Wiggins Designs,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,90.0,0,1,TRUE,N,FALSE,FALSE,N
1038676.0,Elizabeth McKissick Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,75.0,0,0,TRUE,N,FALSE,FALSE,N
1037573.0,Studio Reneau,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,62.3,0,1,TRUE,N,FALSE,FALSE,N
1036907.0,AbbyLeigh Gifts,RETAIL,SINGLE_LOCATION,Group 3 High Potential,0.0,34.3,0,1,TRUE,N,FALSE,FALSE,N
1037373.0,Heiberg Cummings Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,25.0,0,0,TRUE,N,FALSE,FALSE,N
1037415.0,JA Colliton Inc.,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,25.0,0,0,TRUE,N,FALSE,FALSE,N
1037350.0,Bonnie Kaye Studio,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037345.0,Thao of All Things,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1037677.0,Emerson Studios,DESIGN,UNKNOWN,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037469.0,GCB Design Group,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037443.0,Gordon Design Company LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037468.0,Pretty Colorful Company,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037431.0,Rose & William Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1008623.0,Dwellings (NC),RETAIL,SINGLE_LOCATION,Group 3 Low Potential,30631.12,0.0,37,0,FALSE,N,FALSE,FALSE,N
1017972.0,Hawthorne House Inc,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,644.0,0.0,2,0,FALSE,N,FALSE,FALSE,N
1019280.0,West Fork Woodsmen DBA 3oak Handcrafted,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,14692.4,0.0,34,0,FALSE,N,FALSE,FALSE,N
1025426.0,Home Furniture & Mattress Outlet,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,1258.0,0.0,2,0,FALSE,N,FALSE,FALSE,N
1024012.0,Signature Floors and Design,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,405.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1021121.0,ReVisioned Interiors,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,2100.0,0.0,5,0,FALSE,N,FALSE,FALSE,N
1037411.0,Kairos by Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037024.0,POLI Led & Signs,Retail,Multiple locations,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1036601.0,The Lilley,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037142.0,Caribe Interiors,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037259.0,Laurie Blumenfeld Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038230.0,Turner & Haas,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1038229.0,Trov Home,RETAIL,SINGLE_LOCATION,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038195.0,Delaney Vartanian Studio,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037695.0,hen n the ivy,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037680.0,Church & Mill Interior Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037672.0,Bertha's Place dba B place Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037674.0,Amy Mink Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037703.0,"Lamb's of Little Rock, Inc.",Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037664.0,Diane LIdenberg Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037663.0,Shop On Main,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037662.0,Clean Market,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037671.0,Kenzie Anne Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037651.0,Twigs and Lace,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037627.0,Rinella Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037657.0,"Rosa Rost, Inc",Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037690.0,Bay 38th Street LLC,DESIGN,HOSPITALITY,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037495.0,Grande Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037479.0,Lauren Knowlson Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037563.0,Zoma Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037580.0,"PEAKdesign, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037507.0,Amy Vischio & Co. LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037545.0,The Olivier Studios LLC,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037145.0,Mclaughlin & Co Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037246.0,The Barn Door Co.,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037426.0,Banyan House Design Group,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1037877.0,INTERIOR ARTS & DESIGN,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037882.0,Snug,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037839.0,Chandler Allen Interiors,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037823.0,St. Paul Linoleum & Carpet,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037885.0,Ginger Lemon Indigo- interior design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037862.0,Amyx Place,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037737.0,Studio Antonelli,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038011.0,Hanson Haven,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037982.0,"Livi Besselaar Designs, LLC.",DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037981.0,"Rouzati Rugs, Inc.",Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037963.0,Surround Architecture,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037923.0,Leah Margolis Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037926.0,Shea Smith Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037930.0,Emily Rebecca Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037937.0,DASH Home Living,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037921.0,"Asadorian, Inc",Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037915.0,J GORDON INTERIORS,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038078.0,Elevation Interior Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038020.0,Brittani Anderson Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038061.0,Amy Courtney Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
