Rep Detail Report V2: Karen Autore,,,,,,,,,,,,,,,
Generated: 2026-01-07 14:11:40,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
218,11,2997019.25,2884935.27,0,29,-29,-13.3,0.0,17294.33,-17294.33,-0.6,189,2867640.94,11,7258.85,10,28,0,2,0.0,26,17294.33,1,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,36,1634043.12,0,0,,,,,,,,,,
Group 1 Medium Potential: ,17,529316.4,0,0,,,,,,,,,,
Group 2 High Potential: ,32,302671.83,0,0,,,,,,,,,,
Group 2 Medium Potential: ,52,364392.54,0,0,,,,,,,,,,
Group 2 Low Potential: ,2,14156.0,0,0,,,,,,,,,,
Group 3 High Potential: ,3,2021.4,0,0,,,,,,,,,,
Group 3 Medium Potential: ,14,16407.15,5,0,,,,,,,,,,
Group 3 Low Potential: ,33,4632.5,6,0,,,,,,,,,,
Totals,189,2867640.94,11,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 53 accounts | $2163359.52 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1009837.0,Tribus Design Studio LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,146265.31,183591.61,67,79,FALSE,N,FALSE,FALSE,N
1002108.0,Oriental Gallery,RETAIL,SINGLE_LOCATION,Group 1 High Potential,62082.95,172397.94,121,265,FALSE,N,FALSE,FALSE,N
1003208.0,"Fowler & Co., Inc dba Fowler Interiors",DESIGN,DESIGN_FIRM,Group 1 High Potential,45940.51,90368.75,36,51,FALSE,N,FALSE,FALSE,N
1002827.0,Four Corners Home,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,78403.8,67659.74,75,71,FALSE,N,FALSE,FALSE,N
1009975.0,Kelly Caron Designs,DESIGN,DESIGN_FIRM,Group 1 High Potential,53901.64,59244.3,36,49,FALSE,N,FALSE,FALSE,N
1011904.0,Megan Molten,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,48905.37,58266.77,39,44,FALSE,N,FALSE,FALSE,N
1016997.0,Seawah Furniture & Design LLC,RETAIL,SINGLE_LOCATION,Group 1 High Potential,36888.94,56642.75,33,56,FALSE,N,FALSE,FALSE,N
1002437.0,John Kilmer Fine Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,51128.1,55685.1,53,43,FALSE,N,FALSE,FALSE,N
1000585.0,Id Studio Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,28956.86,55310.53,22,18,FALSE,N,FALSE,FALSE,N
1001867.0,Lisa Sherry Interieurs,DESIGN,DESIGN_FIRM,Group 1 High Potential,41383.6,53797.2,27,30,FALSE,N,FALSE,FALSE,N
1010208.0,"Court Atkins Interiors, LLC",DESIGN,ARCHITECT_BUILDER,Group 1 High Potential,54282.55,51524.87,31,42,FALSE,N,FALSE,FALSE,N
1002881.0,J Banks Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,31949.0,46267.46,17,28,FALSE,N,FALSE,FALSE,N
1002888.0,Nandina,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,75102.11,45619.81,33,24,FALSE,N,FALSE,FALSE,N
1009286.0,Crown Design Group of NC,DESIGN,DESIGN_FIRM,Group 1 High Potential,16780.2,45453.8,14,24,FALSE,N,FALSE,FALSE,N
1008792.0,Design Works Studio,DESIGN,DESIGN_FIRM,Group 1 High Potential,20539.0,45385.53,18,28,FALSE,N,FALSE,FALSE,N
1002694.0,Marty Rae's Of Lexington,RETAIL,SINGLE_LOCATION,Group 1 High Potential,38616.71,44443.52,43,39,FALSE,N,FALSE,FALSE,N
1008824.0,Patti Wilbourne Designs,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,79696.06,44340.05,47,37,FALSE,N,FALSE,FALSE,N
1012971.0,Lost and Foundry - Susan Chancey,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,46664.7,43315.24,13,22,FALSE,N,FALSE,FALSE,N
1023645.0,Smith Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,12828.0,38968.18,6,10,FALSE,N,FALSE,FALSE,N
