Rep Detail Report V2: Kimberly Myers,,,,,,,,,,,,,,,
Generated: 2025-12-21 19:02:49,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
938,78,2556804.9,2154258.22,160,728,-568,-60.55,913943.32,1018916.4,-104973.08,-4.87,370,2049285.14,4,5724.56,0,66,32,181,841217.11,473,177699.29,74,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,11,330667.26,0,0,,,,,,,,,,
Group 1 Medium Potential: ,6,158075.23,0,0,,,,,,,,,,
Group 2 High Potential: ,82,579891.5,0,0,,,,,,,,,,
Group 2 Medium Potential: ,137,882657.82,0,0,,,,,,,,,,
Group 2 Low Potential: ,5,27459.4,0,0,,,,,,,,,,
Group 3 High Potential: ,71,42397.0,0,0,,,,,,,,,,
Group 3 Medium Potential: ,15,20328.93,1,1,,,,,,,,,,
Group 3 Low Potential: ,43,7808.0,3,1,,,,,,,,,,
Totals,370,2049285.14,4,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | $488742.49 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1019227,Lauren Tilley Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,33626.58,44616.4,22,17,FALSE,N,FALSE,FALSE,N
1012357,Lauren Heather Design Studio,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,31418.27,38503.37,19,15,FALSE,N,FALSE,FALSE,N
1020292,New Old,DESIGN,ARCHITECT_BUILDER,Group 1 High Potential,450.0,35599.0,0,10,FALSE,N,FALSE,FALSE,N
1001394,Rowe Furniture,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,16493.0,34910.5,4,8,FALSE,N,FALSE,FALSE,N
1024991,"InterScapes, Inc.",DESIGN,DESIGN_FIRM,Group 1 Medium Potential,10236.0,34220.29,5,0,FALSE,N,FALSE,FALSE,N
1023166,Daniel Sawyer Interior Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,2181.0,32898.0,3,7,FALSE,N,FALSE,FALSE,N
1014336,Grace Home Decor,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,39790.8,31732.09,58,57,FALSE,N,FALSE,FALSE,N
1036679,Salt Water Snow Design Studio LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,0.0,31096.7,0,18,TRUE,N,FALSE,FALSE,N
1036273,Cliffs Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,0.0,28835.5,0,12,TRUE,N,FALSE,FALSE,N
1017482,kLo Design and Style,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,874.0,25753.0,3,8,FALSE,N,FALSE,FALSE,N
1035218,Angie Artigues Design Co,DESIGN,DESIGN_FIRM,Group 1 High Potential,0.0,23626.0,0,8,TRUE,N,FALSE,FALSE,N
1001515,Stephanie Swander Interiors,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,27705.54,23298.0,7,14,FALSE,N,FALSE,FALSE,N
1026353,MAE HIGHT INTERIORS,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,38739.5,22339.0,12,10,FALSE,N,FALSE,FALSE,N
1034761,Nina Symonds Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,1982.0,21814.51,6,0,FALSE,N,FALSE,FALSE,N
1028009,Spillis Custom Properties,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,3503.0,21492.93,2,1,FALSE,N,FALSE,FALSE,N
