Rep Detail Report V2: Laura Hays,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:49:56,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Lost_Territory,Rev_Lost_Territory,Accounts_Lost_Floor_Active,Rev_Lost_Floor_Active,Accounts_Lost_Floor_Dormant,Rev_Lost_Floor_Dormant
192,92,199987.48,234117.19,0,45,-45,-23.44,0.0,2800.0,-2800.0,-1.2,147,231317.19,91,993.0,92,108,12,0,0.0,45,2800.0,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,1,20033.83,0,0,,,,,,,,,,
Group 2 High Potential: ,11,81758.14,0,0,,,,,,,,,,
Group 2 Medium Potential: ,19,119541.87,0,0,,,,,,,,,,
Group 3 High Potential: ,111,8990.35,87,0,,,,,,,,,,
Group 3 Medium Potential: ,1,993.0,1,0,,,,,,,,,,
Group 3 Low Potential: ,4,0.0,3,0,,,,,,,,,,
Totals,147,231317.19,91,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $20033.83 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1008485,SJL Design Group,DESIGN,DESIGN_FIRM,Group 1 High Potential,13650.15,20033.83,6,12,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 30 accounts | $201300.01 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1016990,"Workplace Solutions, Inc.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1350.0,15634.08,1,2,FALSE,N,FALSE,FALSE,N
1037088,Dinah Capshaw Interior Design + Architecture,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,15002.0,0,2,TRUE,N,FALSE,FALSE,N
1023133,"Southern Land Company, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1640.0,14308.32,1,8,FALSE,N,FALSE,FALSE,N
1022988,"Swoon, the studio",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,23576.5,13601.36,12,5,FALSE,N,FALSE,FALSE,N
1018791,"WORKPLACE SOLUTONS, INC",RETAIL,MULTIPLE_LOCATIONS,Group 2 High Potential,4918.0,12720.78,4,5,FALSE,N,FALSE,FALSE,N
1018000,Dick Clark,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,11839.25,0,1,FALSE,N,FALSE,FALSE,N
1037291,Pro.Cure,DESIGN,HOSPITALITY,Group 2 High Potential,0.0,11546.0,0,1,TRUE,N,FALSE,FALSE,N
1002804,Faulkner Design Group,DESIGN,HOSPITALITY,Group 2 Medium Potential,15982.54,10777.96,5,7,FALSE,N,FALSE,FALSE,N
1026881,Alcove,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4101.15,9538.0,2,3,FALSE,N,FALSE,FALSE,N
1015461,StudioSIX5,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,17047.0,9235.5,5,2,FALSE,N,FALSE,FALSE,N
1004935,HPA Design Group LP,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10374.5,9234.4,19,17,FALSE,N,FALSE,FALSE,N
1034885,InterMountain,DESIGN,HOSPITALITY,Group 2 Medium Potential,3303.0,6662.36,1,3,FALSE,N,FALSE,FALSE,N
1013321,B2 Architecture,DESIGN,DESIGN_FIRM,Group 2 High Potential,14364.0,6064.0,11,11,FALSE,N,FALSE,FALSE,N
1037117,TIEK BYDAY,RETAIL,SINGLE_LOCATION,Group 2 High Potential,0.0,4381.5,0,5,TRUE,N,FALSE,FALSE,N
1035688,"Aintree, LLC",DESIGN,HOSPITALITY,Group 2 High Potential,0.0,4369.54,0,2,TRUE,N,FALSE,FALSE,N
1011120,"Thiel and Thiel, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,3039.2,4151.0,10,10,FALSE,N,FALSE,FALSE,N
1027394,Streetlights Residential,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,7499.2,3871.0,4,4,FALSE,N,FALSE,FALSE,N
1021078,Michael Hsu Office of Architecture,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,0.0,3635.0,1,1,FALSE,N,FALSE,FALSE,N
1038073,Copelin Contract Furniture,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,3355.0,0,2,TRUE,N,FALSE,FALSE,N
1027727,Kelle Contine Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1524.83,3197.92,4,1,FALSE,N,FALSE,FALSE,N
1038185,Scott Rice,RETAIL,MULTIPLE_LOCATIONS,Group 2 High Potential,0.0,3010.0,0,1,TRUE,N,FALSE,FALSE,N
