Rep Detail Report V2: Lorne Gardner,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:25:47,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025
329,61,737046.94,856235.45,0,209,-209,-63.53,0.0,46446.8,-46446.8,-5.42,120,809788.65,0,0.0,0,36,11
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,10,327172.61,0,0,,,,,,,,,,
Group 2 Medium Potential: ,38,268521.12,0,0,,,,,,,,,,
Group 2 High Potential: ,15,126517.05,0,0,,,,,,,,,,
Group 1 Medium Potential: ,3,63310.93,0,0,,,,,,,,,,
Group 2 Low Potential: ,2,10276.0,0,0,,,,,,,,,,
Group 3 Medium Potential: ,8,7262.3,0,0,,,,,,,,,,
Group 3 High Potential: ,15,5304.04,0,0,,,,,,,,,,
Group 3 Low Potential: ,29,1424.6,0,0,,,,,,,,,,
Totals,120,809788.65,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 13 accounts | $390483.54 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1002255,Designers Library,DESIGN,DESIGN_FIRM,Group 1 High Potential,Lorne Gardner,Lorne Gardner,6508.44,51635.56,9,4,FALSE,N,FALSE,FALSE,N
1009483,"BBID, LLC",RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,Lorne Gardner,Lorne Gardner,20635.35,46258.36,38,47,FALSE,N,FALSE,FALSE,N
1004800,Arena's,DESIGN,DESIGN_FIRM,Group 1 High Potential,Lorne Gardner,Lorne Gardner,39104.51,46213.95,16,8,FALSE,N,FALSE,FALSE,N
1012333,"Sisal Rugs Wholesale, Inc.",RETAIL,SINGLE_LOCATION,Group 1 High Potential,Lorne Gardner,Lorne Gardner,8880.0,33467.77,8,15,FALSE,N,FALSE,FALSE,N
1016823,Curated Nest,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,Lorne Gardner,Lorne Gardner,6768.0,30410.55,8,11,FALSE,N,FALSE,FALSE,N
1005515,Mabley Handler Interior Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,Lorne Gardner,Lorne Gardner,16512.0,29183.0,10,14,FALSE,N,FALSE,FALSE,N
