Rep Detail Report V2: Susan Whitworth,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:25:48,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025
163,15,1418968.01,1585036.97,0,68,-68,-41.72,0.0,18851.5,-18851.5,-1.19,95,1566185.47,0,0.0,0,22,5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,19,1189901.65,0,0,,,,,,,,,,
Group 2 High Potential: ,18,184346.1,0,0,,,,,,,,,,
Group 2 Medium Potential: ,21,140620.76,0,0,,,,,,,,,,
Group 1 Medium Potential: ,2,40605.36,0,0,,,,,,,,,,
Group 3 High Potential: ,11,5859.0,0,0,,,,,,,,,,
Group 3 Medium Potential: ,6,4728.6,0,0,,,,,,,,,,
Group 3 Low Potential: ,18,124.0,0,0,,,,,,,,,,
Totals,95,1566185.47,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 21 accounts | $1230507.01 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1004228,Rug Studio,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Susan Whitworth,Susan Whitworth,249632.1,287764.33,498,524,FALSE,N,FALSE,FALSE,N
1010933,BLACKCHALK HOME,DESIGN,DESIGN_FIRM,Group 1 High Potential,Susan Whitworth,Susan Whitworth,84779.2,124628.05,77,61,FALSE,N,FALSE,FALSE,N
1000198,Oriental Rug Gallery Of Texas,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Susan Whitworth,Susan Whitworth,107585.68,104199.7,117,121,FALSE,N,FALSE,FALSE,N
1001732,Kbk To The Trade,DESIGN,DESIGN_FIRM,Group 1 High Potential,Susan Whitworth,Susan Whitworth,55241.08,80479.38,30,45,FALSE,N,FALSE,FALSE,N
1003477,Decorum (TX),RETAIL,SINGLE_LOCATION,Group 1 High Potential,Susan Whitworth,Susan Whitworth,48079.5,67445.5,49,66,FALSE,N,FALSE,FALSE,N
1012557,Daley Home and Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,Susan Whitworth,Susan Whitworth,32773.86,65090.78,31,18,FALSE,N,FALSE,FALSE,N
1006740,Blair Burton Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,Susan Whitworth,Susan Whitworth,39997.0,52280.5,14,20,FALSE,N,FALSE,FALSE,N
1005344,Donna Figg Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,Susan Whitworth,Susan Whitworth,26227.2,49475.33,9,32,FALSE,N,FALSE,FALSE,N
1012240,"Kopfer Taylor Interiors, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,Susan Whitworth,Susan Whitworth,22108.85,47866.7,13,16,FALSE,N,FALSE,FALSE,N
1011782,Shannon Eddings Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,Susan Whitworth,Susan Whitworth,8434.0,44170.88,3,11,FALSE,N,FALSE,FALSE,N
1000924,Finishing Touches (TX),RETAIL,SINGLE_LOCATION,Group 1 High Potential,Susan Whitworth,Susan Whitworth,34018.5,43298.44,23,36,FALSE,N,FALSE,FALSE,N
1014423,Objets Ltd. Austin,DESIGN,DESIGN_FIRM,Group 1 High Potential,Susan Whitworth,Susan Whitworth,33717.82,40725.11,22,27,FALSE,N,FALSE,FALSE,N
1025387,Shabby Slips of Austin,DESIGN,DESIGN_FIRM,Group 1 High Potential,Susan Whitworth,Susan Whitworth,15342.88,35691.23,11,6,FALSE,N,FALSE,FALSE,N
1015488,Twin Sisters Home and Flooring,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Susan Whitworth,Susan Whitworth,59321.5,31430.3,32,31,FALSE,N,FALSE,FALSE,N
1000870,EMBELLISH,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Susan Whitworth,Susan Whitworth,14659.3,30299.02,26,32,FALSE,N,FALSE,FALSE,N
1010975,One Swanky Shop,DESIGN,DESIGN_FIRM,Group 1 High Potential,Susan Whitworth,Susan Whitworth,32312.9,26913.0,23,19,FALSE,N,FALSE,FALSE,N
1008009,Etch Design Group,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,Susan Whitworth,Susan Whitworth,39830.08,22172.86,12,9,FALSE,N,FALSE,FALSE,N
1010220,Casa Antigua dba NIU Urban Living,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Susan Whitworth,Susan Whitworth,10859.0,20720.0,5,10,FALSE,N,FALSE,FALSE,N
1007968,Skandinavia Contemporary Int,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Susan Whitworth,Susan Whitworth,11531.44,19198.4,11,21,FALSE,N,FALSE,FALSE,N
