Rep Detail Report V2: Maggie McCoy,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:49:56,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Lost_Territory,Rev_Lost_Territory,Accounts_Lost_Floor_Active,Rev_Lost_Floor_Active,Accounts_Lost_Floor_Dormant,Rev_Lost_Floor_Dormant
165,77,118676.8,326398.22,0,54,-54,-32.73,0.0,12150.78,-12150.78,-3.72,111,314247.44,74,0.0,77,88,7,0,0.0,54,12150.78,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,2,143867.65,0,0,,,,,,,,,,
Group 1 Medium Potential: ,2,58748.0,0,0,,,,,,,,,,
Group 2 High Potential: ,5,48004.62,0,0,,,,,,,,,,
Group 2 Medium Potential: ,8,57366.28,0,0,,,,,,,,,,
Group 3 High Potential: ,89,4954.29,73,0,,,,,,,,,,
Group 3 Medium Potential: ,1,1306.6,0,0,,,,,,,,,,
Group 3 Low Potential: ,4,0.0,1,0,,,,,,,,,,
Totals,111,314247.44,74,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 4 accounts | $202615.65 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1034825,SLATE PROCUREMENT,DESIGN,HOSPITALITY,Group 1 High Potential,0.0,123547.5,0,2,TRUE,N,FALSE,FALSE,N
1024645,AJ Capital Partners,DESIGN,HOSPITALITY,Group 1 Medium Potential,0.0,34000.0,1,0,FALSE,N,FALSE,FALSE,N
1035477,Striv Designs,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,3270.0,24748.0,1,2,FALSE,N,FALSE,FALSE,N
1027055,"Sketch Blue, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,2450.0,20320.15,4,7,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 13 accounts | $105370.90 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1012508,Centaur Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,8845.0,13280.16,10,4,FALSE,N,FALSE,FALSE,N
1027868,Aubrie Welsh Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,7955.0,12609.4,4,7,FALSE,N,FALSE,FALSE,N
1035248,SOM DESIGN STUDIO,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,11828.0,0,9,TRUE,N,FALSE,FALSE,N
1035035,West End Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,11311.0,0,8,FALSE,N,FALSE,FALSE,N
1037067,Continua Interiors,DESIGN,ARCHITECT_BUILDER,Group 2 High Potential,0.0,10250.0,0,5,TRUE,N,FALSE,FALSE,N
1017316,RIEKE INTERIORS,DESIGN,DESIGN_FIRM,Group 2 High Potential,7156.0,7733.62,3,7,FALSE,N,FALSE,FALSE,N
1028011,Architectures SP,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,7248.0,7432.5,2,3,FALSE,N,FALSE,FALSE,N
1001987,American Interiors Inc,DESIGN,DESIGN_FIRM,Group 2 High Potential,3889.0,6882.0,7,9,FALSE,N,FALSE,FALSE,N
1034754,Macco's Commercial Interiors,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,0.0,6558.1,2,0,FALSE,N,FALSE,FALSE,N
1035121,The Champion Companies,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,12236.0,6083.0,1,4,FALSE,N,FALSE,FALSE,N
1017147,"CONSOLIDATED FLOORING OF CHICAGO, LLC.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,3992.0,0,2,FALSE,N,FALSE,FALSE,N
1016837,Flooring Resources Corporation,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,815.0,3741.12,1,1,FALSE,N,FALSE,FALSE,N
1034760,Vector Design Group,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1926.0,3670.0,1,1,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 20 accounts | $6260.89 revenue,,,,,,,,,,,,,,,
(Protected accounts - not flagged for floor removal),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1037417,Kristine Kay Interiors,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,2006.0,0,1,TRUE,N,FALSE,FALSE,N
1038053,Mathison Mathison Architects,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1765.0,0,1,TRUE,N,FALSE,FALSE,N
1015671,FLOORSMD LLC,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,0.0,1306.6,0,3,FALSE,N,FALSE,FALSE,N
