Rep Detail Report: Marti Hovater,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
159,1910383.7,1805917.18,39,25650.35,120,1780266.83,47,2,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,24,1287370.11,0,,,,,,,,,,
Group 2 Medium Potential: ,29,196829.59,0,,,,,,,,,,
Group 2 High Potential: ,16,142092.52,0,,,,,,,,,,
Group 1 Medium Potential: ,5,134877.58,0,,,,,,,,,,
Group 3 Medium Potential: ,26,37170.28,14,,,,,,,,,,
Group 3 High Potential: ,9,5730.1,2,,,,,,,,,,
Group 3 Low Potential: ,50,1847.0,23,,,,,,,,,,
Totals,159,1805917.18,39,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | 1422247.69 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1011216,Cantoni LP,RETAIL,MULTIPLE_LOCATIONS,325207.71,242105.2,150,136,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/4/2019,FALSE,72.1,FALSE
1005984,Dallas Rugs,RETAIL,SINGLE_LOCATION,124283.78,152698.46,88,99,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/26/2019,FALSE,78.5,FALSE
1003316,Bartholet Home Furnishings,RETAIL,SINGLE_LOCATION,69006.3,111244.5,61,79,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/20/2020,FALSE,83.9,FALSE
1010152,Nancy Rae Interiors,DESIGN,DESIGN_FIRM,28477.8,63995.9,10,18,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/27/2020,FALSE,78.5,FALSE
1012568,KBM Designs - My Favorite Room,RETAIL,SINGLE_LOCATION,26491.2,53540.1,23,31,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/7/2020,FALSE,79.5,FALSE
1020899,EP Interior,DESIGN,DESIGNER_INDEPENDENT,73456.7,51270.05,60,40,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,12/28/2021,FALSE,68.9,FALSE
1000411,Ladco Washington Park,DESIGN,DESIGN_FIRM,21735.0,49791.2,17,34,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/3/2019,FALSE,75.1,FALSE
1000410,Ibb Design Group,DESIGN,DESIGN_FIRM,47865.6,48594.63,28,44,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/2/2019,FALSE,79.1,FALSE
1001702,Swann's Furniture,RETAIL,SINGLE_LOCATION,61713.48,47502.4,35,29,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/30/2020,FALSE,72.1,FALSE
1006469,North Texas Design Group,DESIGN,DESIGN_FIRM,40498.34,46754.09,37,40,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/21/2019,FALSE,81.7,FALSE
1008127,"Pulp Design Studios, LLC",DESIGN,DESIGN_FIRM,10427.04,43693.45,13,16,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/25/2019,FALSE,86.3,FALSE
1001542,Rainey Richardson Interiors,DESIGN,DESIGN_FIRM,51459.2,43201.16,27,26,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/12/2019,FALSE,72.6,FALSE
1004745,Jessica McIntyre Interiors,RETAIL,SINGLE_LOCATION,40366.64,38257.65,24,17,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/18/2020,FALSE,74.2,FALSE
1010948,Urbanology Designs,DESIGN,DESIGN_FIRM,32233.66,37822.92,17,8,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/7/2020,FALSE,73.7,FALSE
1005526,"Kathy Andrews Interiors, Inc.",DESIGN,HOSPITALITY,38507.0,37229.59,55,33,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/13/2019,FALSE,72.6,FALSE
1015288,Tipler Design,RETAIL,MULTIPLE_LOCATIONS,47936.1,35931.34,17,13,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/5/2020,FALSE,70.4,FALSE
1014433,TFUJIKAWA LLC dba House Sprucing,RETAIL,SINGLE_LOCATION,17741.0,35426.28,20,52,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/13/2020,FALSE,79.3,FALSE
1005068,Teri Pugh Studio,DESIGN,DESIGN_FIRM,11668.3,31451.94,8,16,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/30/2019,FALSE,87.6,FALSE
