Rep Detail Report: Melissa Coady,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
216,1684730.14,1584817.02,68,29819.81,148,1554997.21,55,8,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,23,745183.51,0,,,,,,,,,,
Group 2 Medium Potential: ,59,414189.0,0,,,,,,,,,,
Group 2 High Potential: ,20,199424.42,0,,,,,,,,,,
Group 1 Medium Potential: ,6,168047.08,0,,,,,,,,,,
Group 3 Medium Potential: ,36,43665.95,27,,,,,,,,,,
Group 2 Low Potential: ,3,14654.0,0,,,,,,,,,,
Group 3 High Potential: ,10,1099.6,0,,,,,,,,,,
Group 3 Low Potential: ,59,-1446.54,41,,,,,,,,,,
Totals,216,1584817.02,68,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | 913230.59 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1003365,Echelon Interiors (DE),DESIGN,DESIGN_FIRM,37547.5,65445.2,53,68,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/25/2019,FALSE,79.1,FALSE
1010927,Laura Bendik Interiors,DESIGN,DESIGN_FIRM,16581.3,65071.23,11,9,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/28/2020,FALSE,78.8,FALSE
1004058,Model Home Interiors,DESIGN,DESIGN_FIRM,49169.3,49131.9,111,130,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/23/2019,FALSE,70.3,FALSE
1001998,Su Casa-Big Iguana,RETAIL,SINGLE_LOCATION,38675.25,45419.34,73,89,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/21/2019,FALSE,73.2,FALSE
1006216,Creative Concepts,RETAIL,MULTIPLE_LOCATIONS,41488.2,42466.68,45,26,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/31/2019,FALSE,71.4,FALSE
1000830,Gladhill Furniture,RETAIL,SINGLE_LOCATION,63929.88,37541.52,66,32,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,11/6/2019,FALSE,66.1,FALSE
1002427,Cashmere Interior,DESIGN,DESIGN_FIRM,10474.81,37054.63,8,17,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/27/2020,FALSE,83.1,FALSE
1005783,"JTW Design, LLC",DESIGN,DESIGNER_INDEPENDENT,19256.04,35586.53,14,20,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/7/2020,FALSE,84.3,FALSE
1011360,Purple Cherry Architects,DESIGN,ARCHITECT_BUILDER,38682.27,35180.36,15,18,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/11/2020,FALSE,77.7,FALSE
1022101,Joran's Interiors,DESIGN,DESIGNER_INDEPENDENT,21867.0,34879.6,15,20,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,7/5/2022,FALSE,67.8,FALSE
1002309,Bethany Resort Furnishings,RETAIL,MULTIPLE_LOCATIONS,16687.06,33100.2,34,38,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/18/2019,FALSE,75.7,FALSE
1004422,Builders Design,DESIGN,DESIGN_FIRM,39065.6,32859.5,107,66,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/3/2020,FALSE,70.9,FALSE
1014122,The Forum LLC,DESIGN,DESIGNER_INDEPENDENT,6731.0,32010.0,3,5,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/17/2020,FALSE,74.5,FALSE
1001440,House Downtown,RETAIL,SINGLE_LOCATION,0.0,31109.0,0,9,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/19/2020,FALSE,79.9,FALSE
1018574,Kirii Design/Decorating Den Interiors,DESIGN,DESIGN_FIRM,17057.5,29888.0,20,22,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,11/16/2022,FALSE,66.7,FALSE
1018740,Lisa and Leroy,DESIGN,DESIGN_FIRM,12146.5,27314.73,7,7,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/5/2021,FALSE,73.6,FALSE
1026909,FARNADY INTERIORS,DESIGN,DESIGNER_INDEPENDENT,24208.0,25419.79,17,10,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/3/2024,FALSE,73.8,FALSE
1026779,Birdie & Bean Interiors,DESIGN,DESIGNER_INDEPENDENT,4551.0,24776.44,6,13,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/22/2024,FALSE,79.8,FALSE
1016530,Michelle Jett Decorating Den Interiors,DESIGN,DESIGNER_INDEPENDENT,35471.15,24107.57,12,27,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,7/8/2020,FALSE,66.0,FALSE
1015602,"Christian Daw Design, LLC",DESIGN,DESIGN_FIRM,4405.0,22437.88,1,6,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/26/2020,FALSE,90.1,FALSE
1000798,"Interior Concepts, Inc. (MD)",DESIGN,DESIGN_FIRM,12074.9,22385.79,13,10,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/4/2019,FALSE,79.2,FALSE
1009204,Panache Interiors (VA),DESIGN,DESIGN_FIRM,30210.9,21063.0,8,7,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/28/2020,FALSE,65.1,FALSE
1001648,Classic Interiors (MD),RETAIL,SINGLE_LOCATION,15486.5,20567.39,18,19,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/20/2019,FALSE,67.6,FALSE
1015199,Palmer Kay Design,DESIGN,DESIGNER_INDEPENDENT,5173.0,20320.9,4,15,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,7/27/2020,FALSE,81.4,FALSE
1037286,The Artful Lodger,RETAIL,SINGLE_LOCATION,0.0,20221.6,0,7,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/30/2025,TRUE,61.8,FALSE
1000257,Dream House LLC,RETAIL,SINGLE_LOCATION,4155.68,19920.4,12,25,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/22/2019,FALSE,85.8,FALSE
1009211,Barbara Elliott - Decorating Den,DESIGN,DESIGN_FIRM,12732.0,19651.94,10,21,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/7/2020,FALSE,74.6,FALSE
1005417,Christie Leu Interiors,DESIGN,DESIGNER_INDEPENDENT,10574.5,19525.0,5,7,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/20/2019,FALSE,74.9,FALSE
1000733,"Karen Renee Interior Design, Inc.",DESIGN,DESIGN_FIRM,5122.3,18774.47,7,7,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/2/2020,FALSE,92.0,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
