Rep Detail Report V2: Melissa Coady,,,,,,,,,,,,,,,
Generated: 2025-12-22 11:59:34,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
239,23,1684730.14,1584817.02,0,90,-90,-37.66,0.0,29777.81,-29777.81,-1.88,149,1555039.21,1,42.0,0,23,8,6,0.0,67,29777.81,17,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,23,745183.51,0,0,,,,,,,,,,
Group 1 Medium Potential: ,6,168047.08,0,0,,,,,,,,,,
Group 2 High Potential: ,20,199424.42,0,0,,,,,,,,,,
Group 2 Medium Potential: ,59,414189.0,0,0,,,,,,,,,,
Group 2 Low Potential: ,3,14654.0,0,0,,,,,,,,,,
Group 3 High Potential: ,10,1099.6,0,0,,,,,,,,,,
Group 3 Medium Potential: ,9,11474.1,0,0,,,,,,,,,,
Group 3 Low Potential: ,19,967.5,1,0,,,,,,,,,,
Totals,149,1555039.21,1,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | $913230.59 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1003365,Echelon Interiors (DE),DESIGN,DESIGN_FIRM,Group 1 High Potential,37547.5,65445.2,53,68,FALSE,N,FALSE,FALSE,N
1010927,Laura Bendik Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,16581.3,65071.23,11,9,FALSE,N,FALSE,FALSE,N
1004058,Model Home Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,49169.3,49131.9,111,130,FALSE,N,FALSE,FALSE,N
1001998,Su Casa-Big Iguana,RETAIL,SINGLE_LOCATION,Group 1 High Potential,38675.25,45419.34,73,89,FALSE,N,FALSE,FALSE,N
1006216,Creative Concepts,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,41488.2,42466.68,45,26,FALSE,N,FALSE,FALSE,N
1000830,Gladhill Furniture,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,63929.88,37541.52,66,32,FALSE,N,FALSE,FALSE,N
1002427,Cashmere Interior,DESIGN,DESIGN_FIRM,Group 1 High Potential,10474.81,37054.63,8,17,FALSE,N,FALSE,FALSE,N
1005783,"JTW Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,19256.04,35586.53,14,20,FALSE,N,FALSE,FALSE,N
1011360,Purple Cherry Architects,DESIGN,ARCHITECT_BUILDER,Group 1 High Potential,38682.27,35180.36,15,18,FALSE,N,FALSE,FALSE,N
1022101,Joran's Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,21867.0,34879.6,15,20,FALSE,N,FALSE,FALSE,N
1002309,Bethany Resort Furnishings,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,16687.06,33100.2,34,38,FALSE,N,FALSE,FALSE,N
1004422,Builders Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,39065.6,32859.5,107,66,FALSE,N,FALSE,FALSE,N
1014122,The Forum LLC,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,6731.0,32010.0,3,5,FALSE,N,FALSE,FALSE,N
1001440,House Downtown,RETAIL,SINGLE_LOCATION,Group 1 High Potential,0.0,31109.0,0,9,FALSE,N,FALSE,FALSE,N
1018574,Kirii Design/Decorating Den Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,17057.5,29888.0,20,22,FALSE,N,FALSE,FALSE,N
1018740,Lisa and Leroy,DESIGN,DESIGN_FIRM,Group 1 High Potential,12146.5,27314.73,7,7,FALSE,N,FALSE,FALSE,N
1026909,FARNADY INTERIORS,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,24208.0,25419.79,17,10,FALSE,N,FALSE,FALSE,N
1026779,Birdie & Bean Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,4551.0,24776.44,6,13,FALSE,N,FALSE,FALSE,N
