Rep Detail Report: Randall Schneck,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
155,1735276.45,1512559.56,25,12547.45,130,1500012.11,28,5,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,19,769214.31,0,,,,,,,,,,
Group 2 Medium Potential: ,45,316538.75,0,,,,,,,,,,
Group 2 High Potential: ,28,245813.61,0,,,,,,,,,,
Group 1 Medium Potential: ,6,151331.79,0,,,,,,,,,,
Group 3 Medium Potential: ,21,26686.3,10,,,,,,,,,,
Group 3 Low Potential: ,29,1993.3,15,,,,,,,,,,
Group 3 High Potential: ,7,981.5,0,,,,,,,,,,
Totals,155,1512559.56,25,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 25 accounts | 920546.10 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1003198,Carol House Furniture Inc,RETAIL,MULTIPLE_LOCATIONS,69467.07,81734.86,192,202,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/7/2019,FALSE,74.0,FALSE
1005145,Scout and Nimble LLC,RETAIL,SINGLE_LOCATION,38083.9,73156.01,97,103,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/31/2020,FALSE,78.7,FALSE
1011396,Amethyst Home,DESIGN,DESIGN_FIRM,38464.7,72223.5,74,96,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/22/2019,FALSE,79.8,FALSE
1006303,Obelisk Home,RETAIL,SINGLE_LOCATION,37942.4,57089.24,25,29,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/14/2020,FALSE,72.9,FALSE
1009974,Cooper and Co Home + Gift,RETAIL,SINGLE_LOCATION,44380.04,52906.04,61,80,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/22/2019,FALSE,73.2,FALSE
1003385,K Renee Home,RETAIL,SINGLE_LOCATION,60214.4,51961.0,57,40,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/20/2019,FALSE,77.0,FALSE
1000418,Designers Library- Hard Surface,DESIGN,DESIGN_FIRM,28308.6,47852.45,29,29,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/3/2020,FALSE,73.3,FALSE
