Rep Detail Report: Ron Kessler,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
180,1241834.71,1134956.4,65,30724.38,115,1104232.02,51,3,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,11,354822.74,0,,,,,,,,,,
Group 2 Medium Potential: ,44,339257.57,0,,,,,,,,,,
Group 1 Medium Potential: ,9,257862.31,0,,,,,,,,,,
Group 2 High Potential: ,15,133234.04,0,,,,,,,,,,
Group 3 Medium Potential: ,33,35998.44,22,,,,,,,,,,
Group 3 High Potential: ,9,6953.8,1,,,,,,,,,,
Group 3 Low Potential: ,59,6827.5,42,,,,,,,,,,
Totals,180,1134956.4,65,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 20 accounts | 612685.05 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1008203,Designs on Madison,DESIGN,DESIGN_FIRM,48861.74,54047.38,27,39,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/12/2019,FALSE,72.8,FALSE
1009771,Ellwood Interiors,DESIGN,DESIGN_FIRM,16318.85,49136.72,9,14,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/21/2020,FALSE,84.2,FALSE
1012441,"Surround In Design, OH",RETAIL,SINGLE_LOCATION,68471.5,42310.0,53,52,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/2/2020,FALSE,69.9,FALSE
1005965,Design Trade Solutions,RETAIL,SINGLE_LOCATION,38947.2,39919.37,31,33,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/8/2020,FALSE,69.4,FALSE
1008023,Trove Warehouse,RETAIL,MULTIPLE_LOCATIONS,26729.14,39028.6,29,38,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/16/2019,FALSE,72.7,FALSE
1011048,Shine Design,DESIGN,DESIGN_FIRM,43602.2,33739.1,40,42,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,11/18/2019,FALSE,69.0,FALSE
1002650,"Via Design, Inc.",DESIGN,DESIGN_FIRM,11003.49,32191.35,18,25,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/28/2019,FALSE,83.9,FALSE
1000301,Hagopian World Of Rugs,RETAIL,MULTIPLE_LOCATIONS,20668.0,29464.64,15,23,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/7/2020,FALSE,71.2,FALSE
1000921,Dwellings (MI),RETAIL,SINGLE_LOCATION,245.0,29350.0,2,8,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/28/2020,FALSE,76.8,FALSE
1019554,SB Home Staging and Design,DESIGN,DESIGN_FIRM,11354.7,29223.85,10,22,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/12/2021,FALSE,78.5,FALSE
1007969,The Quiet Moose and Compass Interiors,RETAIL,SINGLE_LOCATION,32579.85,28497.76,31,38,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,4/3/2020,FALSE,68.1,FALSE
1011214,KP Designs and Associates,RETAIL,SINGLE_LOCATION,41443.0,27730.0,45,36,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/28/2020,FALSE,67.5,FALSE
1007096,J Gauker Interiors,DESIGN,DESIGN_FIRM,18619.5,26012.0,15,17,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/25/2019,FALSE,72.1,FALSE
1012472,Jean Stoffer Design,DESIGN,DESIGN_FIRM,26846.54,25657.0,14,8,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/28/2020,FALSE,66.8,FALSE
1019705,Raye Design,DESIGN,DESIGN_FIRM,10965.0,23815.0,20,21,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,7/27/2021,FALSE,70.4,FALSE
1002023,John Kirk Furniture Galleries,RETAIL,SINGLE_LOCATION,11321.0,23542.6,9,21,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/17/2020,FALSE,85.8,FALSE
1018522,Parallel Design Group,DESIGN,DESIGN_FIRM,50532.0,20706.8,30,16,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,2/10/2021,FALSE,63.8,FALSE
1000475,Home Interiors Warehouse,RETAIL,MULTIPLE_LOCATIONS,29069.06,20240.5,46,31,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/17/2020,FALSE,65.5,FALSE
1018919,Tiffany Skilling Interiors,DESIGN,DESIGN_FIRM,51391.17,19061.78,19,4,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/25/2022,FALSE,55.5,FALSE
1001920,The Home Studio,RETAIL,SINGLE_LOCATION,5495.0,19010.6,3,19,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/18/2019,FALSE,92.1,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 59 accounts | 472491.61 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1021640,Gardella Furniture,RETAIL,SINGLE_LOCATION,17095.34,17568.5,9,11,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/19/2022,FALSE,76.6,FALSE
1002119,"Cri Interiors, Inc",DESIGN,DESIGN_FIRM,25105.53,16718.12,15,13,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/18/2019,FALSE,65.7,FALSE
1011680,"Design 2, LLC",DESIGN,DESIGN_FIRM,15634.0,14830.5,19,10,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/3/2020,FALSE,59.1,FALSE
1002008,Benchmark Wood Studio Inc,DESIGN,DESIGN_FIRM,5309.75,14100.44,7,13,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/15/2020,FALSE,83.9,FALSE
1020373,DMC Design LLC,DESIGN,DESIGN_FIRM,0.0,13983.0,0,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/15/2021,FALSE,62.7,FALSE
1001556,Acquisitions For The Home,DESIGN,DESIGN_FIRM,7041.0,13333.91,14,22,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/15/2020,FALSE,74.6,FALSE
1009536,"Designs Unlimited Int., Inc.",DESIGN,DESIGN_FIRM,0.0,13040.48,0,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/3/2020,FALSE,62.2,FALSE
1012256,Renee Guthrie Design,DESIGN,DESIGN_FIRM,13925.9,13038.0,11,17,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/21/2019,FALSE,68.4,FALSE
1000678,Klingman's Furniture Company,RETAIL,SINGLE_LOCATION,9967.0,12921.2,8,11,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/13/2021,FALSE,67.4,FALSE
1023617,North + Birch,DESIGN,DESIGN_FIRM,3795.5,12913.0,2,8,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/24/2023,FALSE,73.3,FALSE
1010190,Kelly Hansen Interiors/State Street Blinds&Designs,RETAIL,SINGLE_LOCATION,10000.9,12264.89,11,11,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/9/2020,FALSE,69.8,FALSE
1021317,JD Home,RETAIL,SINGLE_LOCATION,5842.0,12243.1,4,15,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/3/2022,FALSE,72.2,FALSE
1012228,Watson's of Cincinnati,RETAIL,MULTIPLE_LOCATIONS,14309.3,11912.14,17,12,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/23/2020,FALSE,63.0,FALSE
1011437,Francesca Owings Interior Design,DESIGN,DESIGN_FIRM,27520.5,11849.0,13,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/13/2020,FALSE,66.8,FALSE
1002113,Copper Creek Canyon,RETAIL,SINGLE_LOCATION,14828.0,10403.0,6,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/28/2020,FALSE,67.1,FALSE
1020343,Werbrichs Landscaping,DESIGN,ARCHITECT_BUILDER,11683.6,10138.59,8,9,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/4/2021,FALSE,66.7,FALSE
1009329,Cloth and Kind,DESIGN,DESIGN_FIRM,460.0,10061.0,1,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/14/2020,FALSE,56.9,FALSE
1010825,Designs to the Nth Degree,DESIGN,DESIGN_FIRM,15180.5,9641.2,21,14,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/12/2020,FALSE,67.5,FALSE
1006937,Crimson Design Group,DESIGN,DESIGN_FIRM,33181.8,9577.6,34,14,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/6/2020,FALSE,65.8,FALSE
1015589,Meg Corley Premier Interiors,DESIGN,DESIGN_FIRM,18752.67,9315.09,14,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/25/2020,FALSE,57.4,FALSE
1009279,"Everything Home, LLC",RETAIL,SINGLE_LOCATION,9614.6,9004.13,10,16,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/30/2020,FALSE,59.9,FALSE
1024663,Greene & Company,DESIGN,DESIGN_FIRM,16253.4,8512.8,9,10,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/11/2023,FALSE,63.8,FALSE
1003478,Urban Styles,RETAIL,SINGLE_LOCATION,5844.5,8504.0,6,11,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/11/2020,FALSE,67.9,FALSE
1013156,"Direct Plus, Inc",RETAIL,SINGLE_LOCATION,2535.0,8478.0,2,7,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/3/2020,FALSE,90.5,FALSE
1004640,"Rectangles, LLC",RETAIL,SINGLE_LOCATION,12537.5,8374.1,26,17,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/7/2019,FALSE,67.4,FALSE
1021234,Bishop Design,DESIGN,DESIGN_FIRM,18393.5,8196.6,7,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/8/2022,FALSE,59.9,FALSE
1010591,Marc T Nielsen,DESIGN,DESIGN_FIRM,3447.6,7862.0,3,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/16/2020,FALSE,58.7,FALSE
