Rep Detail Report V2: SDR Team,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:49:57,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Lost_Territory,Rev_Lost_Territory,Accounts_Lost_Floor_Active,Rev_Lost_Floor_Active,Accounts_Lost_Floor_Dormant,Rev_Lost_Floor_Dormant
0,0,0.0,0.0,9083,0,9083,0,1807893.5,0.0,1807893.5,0,9083,1807893.5,0,0.0,0,7138,34,0,0.0,0,0.0,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 3 High Potential: ,31,54027.13,0,31,,,,,,,,,,
Group 3 Medium Potential: ,1432,1554123.23,0,1432,,,,,,,,,,
Group 3 Low Potential: ,7620,199743.14,0,7586,,,,,,,,,,
Totals,9083,1807893.5,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 34 accounts | $0.00 revenue,,,,,,,,,,,,,,,
(Protected accounts - not flagged for floor removal),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1037081,The Perfect Home Redevelopers & Investors Inc,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1037149,Callie Blanks Interiors,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1037918,SHEPPARD'S BUSINESS INTERIORS,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1038478,Projex Inc,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1037118,Nelson Davis,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1037608,A2 DESIGN,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1038069,Emily Jean Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1038377,Pencil Design,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038624,Aristi Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1009646,Del Sur Designs,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1026449,"Branch and Vine Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1026621,ROSI Design Studio,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1026683,Sea Pointe Design & Remodel,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
