Rep Detail Report V2: Sheenthia Masihod,,,,,,,,,,,,,,,
Generated: 2026-01-07 14:11:41,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
0,0,0.0,0.0,11120,0,11120,0,1131836.24,0.0,1131836.24,0,11120,1131836.24,0,0.0,5761,10290,27,0,0.0,0,0.0,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,2,221468.11,0,0,,,,,,,,,,
Group 1 Medium Potential: ,2,122647.22,0,0,,,,,,,,,,
Group 2 High Potential: ,3,18649.0,0,0,,,,,,,,,,
Group 2 Medium Potential: ,14,75547.61,0,0,,,,,,,,,,
Group 3 High Potential: ,28,10332.61,0,11,,,,,,,,,,
Group 3 Medium Potential: ,579,591262.52,0,569,,,,,,,,,,
Group 3 Low Potential: ,10492,91929.17,0,9055,,,,,,,,,,
Totals,11120,1131836.24,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 4 accounts | $344115.33 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1027500.0,Brady Retail,RETAIL,SINGLE_LOCATION,Group 1 High Potential,34120.64,124664.03,37,24,FALSE,N,FALSE,FALSE,N
1003818.0,Employee,INTERNAL,EMPLOYEEFRIENDFAMILY,Group 1 High Potential,45446.73,96804.08,215,247,FALSE,N,FALSE,FALSE,N
1018998.0,Benjamin West(CO),DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,12176.24,95289.1,3,3,FALSE,N,FALSE,FALSE,N
1003839.0,CASH,INTERNAL,EMPLOYEEFRIENDFAMILY,Group 1 Medium Potential,89306.8,27358.12,64,35,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 17 accounts | $94196.61 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1019946.0,Customer Success Gifting,DESIGN,DESIGN_FIRM,Group 2 High Potential,445.75,9235.0,24,7,FALSE,N,FALSE,FALSE,N
1013265.0,"Designers Linen Source, Inc",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,13920.74,9222.5,18,2,FALSE,N,FALSE,FALSE,N
1005016.0,AP Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,8183.8,0,6,FALSE,N,FALSE,FALSE,N
1028003.0,THE GETTYS GROUP,DESIGN,HOSPITALITY,Group 2 Medium Potential,0.0,8039.22,1,2,FALSE,N,FALSE,FALSE,N
1008806.0,Ss Eddie Goldberger,INTERNAL,SALES_REP,Group 2 Medium Potential,9774.4,6765.5,14,2,FALSE,N,FALSE,FALSE,N
1021585.0,Gannon Interior design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10254.5,6439.0,16,2,FALSE,N,FALSE,FALSE,N
1026723.0,Neil Locke & Associates,DESIGN,HOSPITALITY,Group 2 Medium Potential,4752.9,6401.34,8,0,FALSE,N,FALSE,FALSE,N
1005903.0,The Workroom,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,6175.0,0,1,FALSE,N,FALSE,FALSE,N
1035570.0,Noble Studio,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,5934.0,0,5,TRUE,N,FALSE,FALSE,N
1011575.0,Holly Viane Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,5482.0,0,2,FALSE,N,FALSE,FALSE,N
1000119.0,Dorello Carpets and Area Rugs,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,0.0,4035.0,0,1,FALSE,N,FALSE,FALSE,N
1024084.0,"Wallace Design Group, Inc.",DESIGN,ARCHITECT_BUILDER,Group 2 High Potential,0.0,3480.0,0,3,TRUE,N,FALSE,FALSE,N
1004116.0,R Design Group,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,3355.0,0,2,FALSE,N,FALSE,FALSE,N
1002368.0,"Delafield Design Gallery, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,3270.0,0,1,FALSE,N,FALSE,FALSE,N
1000341.0,"Design Center Associates, Inc",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,975.0,3071.0,1,2,FALSE,N,FALSE,FALSE,N
1020725.0,Studio Wellington,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,856.0,2587.0,1,3,FALSE,N,FALSE,FALSE,N
1016365.0,JL Employee Account,INTERNAL,EMPLOYEEFRIENDFAMILY,Group 2 Medium Potential,79.95,2521.25,1,24,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 1464 accounts | $622.41 revenue,,,,,,,,,,,,,,,
(Protected accounts - not flagged for floor removal),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1008164.0,"Courtney and Leigh, Ltd",RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,0.0,1845.0,0,1,FALSE,N,FALSE,FALSE,N
1034818.0,11b Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1815.0,0,1,TRUE,N,FALSE,FALSE,N
1016495.0,Lidia Design Inc.,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,1955.0,1630.0,2,1,FALSE,N,FALSE,FALSE,N
1014435.0,Kristine Bishop Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1500.0,0,2,TRUE,N,FALSE,FALSE,N
1012464.0,"Verde Home, Inc.",RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,46534.86,1266.5,30,1,FALSE,N,FALSE,FALSE,N
1026085.0,Carpet Discount Center,RETAIL,SINGLE_LOCATION,Group 3 High Potential,0.0,1215.0,0,3,TRUE,N,FALSE,FALSE,N
1014541.0,ACG Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1180.0,0,1,TRUE,N,FALSE,FALSE,N
1000217.0,"Cyrus Rugs, LLC",RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,3010.5,1174.5,2,1,FALSE,N,FALSE,FALSE,N
1002590.0,Arya Rugs and Accessories,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,8413.2,1065.51,11,5,FALSE,N,FALSE,FALSE,N
1009672.0,Integrated Environments,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,0.0,796.0,0,1,FALSE,N,FALSE,FALSE,N
1022717.0,Lifelyles Gifts & Interiors,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,101.0,630.0,1,1,FALSE,N,FALSE,FALSE,N
1013144.0,Kane Designs and Home Staging,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,576.0,0,3,TRUE,N,FALSE,FALSE,N
1008882.0,Cornerstone Interiors (KS),RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,0.0,565.0,0,1,FALSE,N,FALSE,FALSE,N
1011159.0,"LC Design, LLC",RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,0.0,520.0,0,1,FALSE,N,FALSE,FALSE,N
1010659.0,Housewarmings (KY),RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,0.0,334.5,0,1,FALSE,N,FALSE,FALSE,N
1014516.0,Integrated Design Systems,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,153.9,0,2,TRUE,N,FALSE,FALSE,N
1010767.0,Summer Classics (TX),RETAIL,MULTIPLE_LOCATIONS,Group 3 Medium Potential,0.0,100.0,0,0,FALSE,N,FALSE,FALSE,N
1002049.0,Interior Vision Design Studio,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,25.0,0,0,TRUE,N,FALSE,FALSE,N
1038398.0,Creek Coastal Home,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038516.0,Wyett Interiors,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038547.0,"MSB Interior Design, LLC",DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038560.0,Mae Miller Interiors,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1038598.0,Sofian llc,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1038642.0,MaArte Design,DESIGN,DESIGN_FIRM,Group 3 Low Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1038677.0,Sun Valley Staging,DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1000155.0,"FCB, Inc., DBA Carpet Galleria",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000157.0,Carpet Specialists Inc.,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000175.0,B.S. Trading Co.,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000178.0,Beverly Hills Rugs,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000188.0,David Alan Rug Co.,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000191.0,Hadidi Oriental Rug Co.,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000195.0,Lucky Gem Imports,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000196.0,Martinous Oriental Rug Co.,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000203.0,Richard Neel Interiors,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000205.0,Roberts Carpet and Fine Floors,Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000207.0,"Tabriz Oriental Rugs, Inc",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000216.0,Andersen Floor Covering,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000221.0,Bradfords Rug Gallery (ME),RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1035711.0,Vella Art & Interiors,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1035751.0,Beachside Furnishings,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000229.0,Dover Fine Oriental Rugs,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000230.0,Julian Interiors Design,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000232.0,Faber's,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000262.0,Iconi Interiors,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000271.0,"Rug Depot, Inc.(NH)",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000276.0,Aja Rugs,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000277.0,Amir Rug Gallery,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000287.0,Atiyeh Brothers Inc.,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000292.0,Essentials,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000300.0,Ceiling and Floor Shop,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000308.0,Khazai Rug Gallery (Louisville),Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000313.0,Lexington Furniture Company Inc.,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000314.0,Lippmann's Furniture and Interiors Inc,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000333.0,The Rug Gallery Inc (OH),Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000136.0,Aaron's Oriental Rugs,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000137.0,Anabel's Oriental Rugs,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000349.0,Johnson Interiors and More Inc.,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000354.0,Outrageous Rugs,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000358.0,Rug Expo,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000360.0,Shiraz Rug Gallery,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000378.0,Wagner Carpet Company,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000383.0,Hawthorne Rugs Inc,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000387.0,Ramsey Galleria,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000388.0,"Rochester Rug Market, Inc.",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1000404.0,Youngs Floor Covering,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000407.0,Clark Design Center,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
