Rep Detail Report: Sheetal Patel,,,,,,,,,,,,,,
Generated: 2025-12-18 06:57:18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
188,1262360.52,1090121.99,71,28352.44,117,1061769.55,68,7,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,11,425181.32,0,,,,,,,,,,
Group 2 Medium Potential: ,42,282392.69,0,,,,,,,,,,
Group 2 High Potential: ,19,186108.9,0,,,,,,,,,,
Group 1 Medium Potential: ,4,150251.19,0,,,,,,,,,,
Group 3 Medium Potential: ,32,35580.29,22,,,,,,,,,,
Group 3 Low Potential: ,66,4592.15,49,,,,,,,,,,
Group 2 Low Potential: ,1,3101.0,0,,,,,,,,,,
Group 3 High Potential: ,13,2914.45,0,,,,,,,,,,
Totals,188,1090121.99,71,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 15 accounts | 575432.51 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1015310,Dan Rak Design,DESIGN,DESIGN_FIRM,46083.6,74923.02,29,43,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/29/2020,FALSE,81.7,FALSE
1037532,Walter E Smithe Furniture + Design,RETAIL,MULTIPLE_LOCATIONS,0.0,67620.25,0,24,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/22/2025,TRUE,64.7,FALSE
1009481,Park and Oak,DESIGN,DESIGN_FIRM,61317.88,54307.68,38,30,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/21/2019,FALSE,68.1,FALSE
1021607,Devon Grace Interiors,DESIGN,DESIGN_FIRM,46479.89,47519.04,20,23,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/8/2022,FALSE,74.3,FALSE
1012180,London Walder Interior Design,DESIGN,DESIGN_FIRM,33237.94,43283.75,20,30,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/1/2019,FALSE,72.5,FALSE
1014447,"Lara Templeman Interiors, LLC",DESIGN,DESIGN_FIRM,4735.0,38649.0,3,8,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/10/2020,FALSE,74.1,FALSE
1012854,LAUREN COLLANDER INTERIORS,DESIGN,DESIGN_FIRM,77000.08,38598.41,47,22,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,8/21/2019,FALSE,65.7,FALSE
1011295,Amy Storm and Co,DESIGN,DESIGN_FIRM,7573.33,34336.44,12,33,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/5/2019,FALSE,88.1,FALSE
1004304,Kate Marker Interiors,DESIGN,DESIGN_FIRM,118776.42,33977.04,51,47,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,11/21/2019,FALSE,57.8,FALSE
1007323,Sarah Coe Design,DESIGN,DESIGN_FIRM,13831.8,30718.6,12,12,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/20/2019,FALSE,70.8,FALSE
1008528,Chicago Design Source,DESIGN,DESIGN_FIRM,16406.45,25936.98,23,25,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/20/2019,FALSE,72.7,FALSE
1012151,Peppeard Design,DESIGN,DESIGN_FIRM,25422.7,23368.06,20,22,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/22/2020,FALSE,68.2,FALSE
1014007,Elizabeth Krueger Design,DESIGN,DESIGN_FIRM,33559.81,21983.22,15,24,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/12/2020,FALSE,76.0,FALSE
1007634,KED Interiors - Katherine Elizabeth Designs (IL),DESIGN,DESIGN_FIRM,9252.49,21960.32,8,15,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/14/2019,FALSE,86.7,FALSE
1014271,Anecdote Home Inc,RETAIL,SINGLE_LOCATION,9918.0,18250.7,8,10,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/7/2019,FALSE,82.9,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 62 accounts | 471602.59 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1006649,Morgante Wilson Architects,DESIGN,ARCHITECT_BUILDER,33928.96,17983.62,6,11,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/16/2020,FALSE,72.0,FALSE
1022056,"Michelle Glennon Interior Design, Inc",DESIGN,DESIGN_FIRM,5962.0,17692.0,4,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/24/2022,FALSE,89.3,FALSE
1006889,North Shore Nest,DESIGN,DESIGN_FIRM,12711.46,17102.0,8,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/2/2019,FALSE,69.7,FALSE
1009162,Mood | Design + Build,DESIGN,DESIGN_FIRM,22099.4,16667.0,21,11,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/3/2020,FALSE,68.7,FALSE
1009354,"Dawn Reeves Design, Inc.",DESIGN,DESIGN_FIRM,23642.76,15807.69,16,15,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/22/2019,FALSE,76.2,FALSE
1012539,Marshall Erb Design,DESIGN,DESIGN_FIRM,38980.97,15011.1,7,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/5/2019,FALSE,68.5,FALSE
1011901,"MegMade, Inc.",DESIGN,DESIGN_FIRM,18457.0,15001.0,34,32,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/6/2019,FALSE,70.7,FALSE
1004132,"Mary Cook Associates, Inc.",DESIGN,DESIGN_FIRM,27829.0,13958.8,12,18,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/16/2020,FALSE,65.6,FALSE
1000544,Art & Design Inc,DESIGN,DESIGN_FIRM,6430.0,13605.3,5,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/9/2019,FALSE,65.8,FALSE
1003424,"Majestic Interior Design, Inc.",DESIGN,DESIGN_FIRM,26104.5,12926.77,12,19,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/20/2020,FALSE,75.2,FALSE
1011778,Ellce Designs,DESIGN,DESIGN_FIRM,28269.32,12083.0,20,13,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/21/2019,FALSE,69.1,FALSE
1012751,Victoria Hardy Interiors,DESIGN,DESIGN_FIRM,6166.0,11876.0,6,5,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/23/2020,FALSE,74.3,FALSE
1004892,Lugbill Designs,DESIGN,DESIGN_FIRM,8985.0,11403.81,6,10,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/16/2020,FALSE,64.8,FALSE
1010466,Kaufman Segal Angyus Design,DESIGN,DESIGN_FIRM,4111.0,11265.0,4,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/17/2020,FALSE,84.0,FALSE
