Rep Detail Report V2: Sheetal Patel,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:49:57,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Lost_Territory,Rev_Lost_Territory,Accounts_Lost_Floor_Active,Rev_Lost_Floor_Active,Accounts_Lost_Floor_Dormant,Rev_Lost_Floor_Dormant
200,12,1262360.52,1090121.99,0,82,-82,-41.0,0.0,26435.44,-26435.44,-2.42,118,1063686.55,1,1917.0,0,21,7,7,0.0,70,26435.44,5,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,11,425181.32,0,0,,,,,,,,,,
Group 1 Medium Potential: ,4,150251.19,0,0,,,,,,,,,,
Group 2 High Potential: ,19,186108.9,0,0,,,,,,,,,,
Group 2 Medium Potential: ,42,282392.69,0,0,,,,,,,,,,
Group 2 Low Potential: ,1,3101.0,0,0,,,,,,,,,,
Group 3 High Potential: ,13,2914.45,0,0,,,,,,,,,,
Group 3 Medium Potential: ,11,11063.6,1,0,,,,,,,,,,
Group 3 Low Potential: ,17,2673.4,0,0,,,,,,,,,,
Totals,118,1063686.55,1,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 15 accounts | $575432.51 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1015310,Dan Rak Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,46083.6,74923.02,29,43,FALSE,N,FALSE,FALSE,N
1037532,Walter E Smithe Furniture + Design,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,0.0,67620.25,0,24,TRUE,N,FALSE,FALSE,N
1009481,Park and Oak,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,61317.88,54307.68,38,30,FALSE,N,FALSE,FALSE,N
1021607,Devon Grace Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,46479.89,47519.04,20,23,FALSE,N,FALSE,FALSE,N
1012180,London Walder Interior Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,33237.94,43283.75,20,30,FALSE,N,FALSE,FALSE,N
1014447,"Lara Templeman Interiors, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,4735.0,38649.0,3,8,FALSE,N,FALSE,FALSE,N
1012854,LAUREN COLLANDER INTERIORS,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,77000.08,38598.41,47,22,FALSE,N,FALSE,FALSE,N
1011295,Amy Storm and Co,DESIGN,DESIGN_FIRM,Group 1 High Potential,7573.33,34336.44,12,33,FALSE,N,FALSE,FALSE,N
1004304,Kate Marker Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,118776.42,33977.04,51,47,FALSE,N,FALSE,FALSE,N
1007323,Sarah Coe Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,13831.8,30718.6,12,12,FALSE,N,FALSE,FALSE,N
1008528,Chicago Design Source,DESIGN,DESIGN_FIRM,Group 1 High Potential,16406.45,25936.98,23,25,FALSE,N,FALSE,FALSE,N
1012151,Peppeard Design,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,25422.7,23368.06,20,22,FALSE,N,FALSE,FALSE,N
1014007,Elizabeth Krueger Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,33559.81,21983.22,15,24,FALSE,N,FALSE,FALSE,N
1007634,KED Interiors - Katherine Elizabeth Designs (IL),DESIGN,DESIGN_FIRM,Group 1 High Potential,9252.49,21960.32,8,15,FALSE,N,FALSE,FALSE,N
1014271,Anecdote Home Inc,RETAIL,SINGLE_LOCATION,Group 1 High Potential,9918.0,18250.7,8,10,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
