Rep Detail Report: Steve Goldfeder,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:58,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
160,142579.72,212981.42,85,14013.22,75,198968.2,100,30,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 2 High Potential: ,11,81591.78,0,,,,,,,,,,
Group 2 Medium Potential: ,13,57553.91,0,,,,,,,,,,
Group 1 High Potential: ,1,29991.97,0,,,,,,,,,,
Group 1 Medium Potential: ,1,19638.0,0,,,,,,,,,,
Group 3 Medium Potential: ,9,11425.82,8,,,,,,,,,,
Group 3 High Potential: ,46,8700.54,0,,,,,,,,,,
Group 3 Low Potential: ,79,4079.4,77,,,,,,,,,,
Totals,160,212981.42,85,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 2 accounts | 49629.97 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1036656,The Farrell Companies,DESIGN,DESIGN_FIRM,0.0,29991.97,0,5,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/10/2025,TRUE,63.6,FALSE
1027240,The Beechwood Organization,DESIGN,DESIGN_FIRM,3920.0,19638.0,1,11,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,5/9/2024,FALSE,68.4,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 24 accounts | 139145.69 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1010911,Devorah Friedman Decor,DESIGN,DESIGN_FIRM,0.0,16754.26,0,12,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/3/2025,TRUE,72.5,FALSE
1035965,Red Thread - Boston,DESIGN,DESIGN_FIRM,0.0,15748.76,0,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/18/2025,TRUE,59.1,FALSE
