Rep Detail Report V2: Susan Gray,,,,,,,,,,,,,,,
Generated: 2026-01-07 14:11:42,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
164,41,838775.52,833953.04,0,77,-77,-46.95,0.0,9928.3,-9928.3,-1.19,87,824024.74,12,6752.3,12,24,2,0,0.0,48,9928.3,29,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,8,279258.4,0,0,,,,,,,,,,
Group 1 Medium Potential: ,2,240094.25,0,0,,,,,,,,,,
Group 2 High Potential: ,9,65701.28,0,0,,,,,,,,,,
Group 2 Medium Potential: ,32,225055.56,0,0,,,,,,,,,,
Group 3 High Potential: ,3,1915.0,0,0,,,,,,,,,,
Group 3 Medium Potential: ,7,8379.95,2,0,,,,,,,,,,
Group 3 Low Potential: ,26,3620.3,10,0,,,,,,,,,,
Totals,87,824024.74,12,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 10 accounts | $519352.65 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1021278.0,Daniel House Club,E-TAILER,SPECIALTY,Group 1 Medium Potential,197444.6,189000.3,289,314,FALSE,N,FALSE,FALSE,N
1000630.0,Creative Interiors And Design (WA),RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,74622.62,51093.95,49,38,FALSE,N,FALSE,FALSE,N
1014955.0,Design Bar - OR,RETAIL,SINGLE_LOCATION,Group 1 High Potential,29931.84,47918.13,11,24,FALSE,N,FALSE,FALSE,N
1000286.0,Area Rug Connection,RETAIL,SINGLE_LOCATION,Group 1 High Potential,27714.64,46724.34,40,52,FALSE,N,FALSE,FALSE,N
1022943.0,Garrison's Home  Enthusiasm LLC,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,26570.1,40410.62,47,48,FALSE,N,FALSE,FALSE,N
1009869.0,What's New Furniture,RETAIL,SINGLE_LOCATION,Group 1 High Potential,22968.5,36003.4,12,16,FALSE,N,FALSE,FALSE,N
1036958.0,"NW Home Interiors, Inc.",RETAIL,SINGLE_LOCATION,Group 1 High Potential,0.0,35867.05,0,24,TRUE,N,FALSE,FALSE,N
1022484.0,Design for the PPL,RETAIL,SINGLE_LOCATION,Group 1 High Potential,20189.2,34370.75,7,11,FALSE,N,FALSE,FALSE,N
1011927.0,Legum Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,8972.0,19763.11,10,10,FALSE,N,FALSE,FALSE,N
1016182.0,"Kevin Twitty Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,19905.0,18201.0,11,16,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 41 accounts | $290756.84 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1006555.0,Terra Firma Home,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,17349.8,17543.0,10,15,FALSE,N,FALSE,FALSE,N
1022176.0,Merryweather,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,12926.8,17504.3,14,20,FALSE,N,FALSE,FALSE,N
1011589.0,Lacy Keller Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,6539.5,14882.3,13,6,FALSE,N,FALSE,FALSE,N
1012578.0,"Bend Furniture and Design, Inc.",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,30691.2,14462.29,23,19,FALSE,N,FALSE,FALSE,N
1014313.0,KD ID LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,10052.0,13760.69,5,3,FALSE,N,FALSE,FALSE,N
1020740.0,Joelle Jarvis Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,20560.0,11890.0,6,6,FALSE,N,FALSE,FALSE,N
1001947.0,Tracy's Furniture Inc,RETAIL,SINGLE_LOCATION,Group 2 High Potential,2562.0,10998.68,4,18,FALSE,N,FALSE,FALSE,N
1010739.0,Bauer-Clifton Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,2104.28,9934.15,8,4,FALSE,N,FALSE,FALSE,N
1007613.0,Wishbone Home and Design,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,13245.56,9887.78,8,12,FALSE,N,FALSE,FALSE,N
1012818.0,Karin Powers Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,9591.0,0,1,FALSE,N,FALSE,FALSE,N
1009688.0,House of Ponce,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10750.6,9386.35,4,9,FALSE,N,FALSE,FALSE,N
1021639.0,Sustain Interiors,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,11413.31,9199.14,14,10,FALSE,N,FALSE,FALSE,N
1005880.0,Haven Home Style,RETAIL,SINGLE_LOCATION,Group 2 High Potential,8516.0,8840.0,15,15,FALSE,N,FALSE,FALSE,N
1016019.0,House of Milo,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,871.5,8323.35,1,4,FALSE,N,FALSE,FALSE,N
1022676.0,Bar Kay Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,1320.5,8277.3,2,5,FALSE,N,FALSE,FALSE,N
1013132.0,Sarah Elizabeth Design (OR),DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2470.0,7558.1,2,5,FALSE,N,FALSE,FALSE,N
1021930.0,Sunrise Interiors,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,1035.0,7183.1,1,4,FALSE,N,FALSE,FALSE,N
1004555.0,North Wind Home,RETAIL,SINGLE_LOCATION,Group 2 High Potential,1852.5,7048.4,1,5,FALSE,N,FALSE,FALSE,N
1025644.0,"Borgo Rosati, Inc.",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,5784.3,6531.8,4,3,FALSE,N,FALSE,FALSE,N
1010760.0,Furniture Classics (AK),RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,7078.1,6524.0,5,3,FALSE,N,FALSE,FALSE,N
1013121.0,Northwest Trends,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,11754.4,5694.0,7,3,FALSE,N,FALSE,FALSE,N
1009146.0,Charla Ray Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4066.0,5119.2,2,3,FALSE,N,FALSE,FALSE,N
1005375.0,Jen West Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2235.0,4760.0,2,1,FALSE,N,FALSE,FALSE,N
1008985.0,Neff Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2742.0,4744.48,1,3,FALSE,N,FALSE,FALSE,N
1012772.0,Lake Shore Design Studio - Decorati,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,14310.77,4574.6,12,5,FALSE,N,FALSE,FALSE,N
1035701.0,Doden Design LLC,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,4394.5,0,3,TRUE,N,FALSE,FALSE,N
1012466.0,Arrange,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1409.0,4293.0,2,2,FALSE,N,FALSE,FALSE,N
1012867.0,Harper House Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,10229.34,4225.0,4,2,FALSE,N,FALSE,FALSE,N
1002289.0,"Circa Interiors, Ltd.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,2800.5,4208.0,1,1,FALSE,N,FALSE,FALSE,N
1013826.0,Amy Troute Inspired Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,11516.0,3844.0,10,5,FALSE,N,FALSE,FALSE,N
1002221.0,Urban I.D.,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4611.5,3815.0,5,2,FALSE,N,FALSE,FALSE,N
1015621.0,Metke Remodeling and Luxury Homes,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,3805.24,3793.84,5,3,FALSE,N,FALSE,FALSE,N
1021324.0,Ingrain Home Design Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,3554.0,1,4,FALSE,N,FALSE,FALSE,N
1038032.0,Juxtaposition,RETAIL,SINGLE_LOCATION,Group 2 High Potential,0.0,3535.0,0,1,TRUE,N,FALSE,FALSE,N
1011672.0,The Nest Design Studio,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3790.02,3518.0,4,1,FALSE,N,FALSE,FALSE,N
