Rep Detail Report: Ted Fall,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:58,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
230,1747291.31,1711828.84,86,38538.22,144,1673290.62,82,7,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,18,776057.66,0,,,,,,,,,,
Group 1 Medium Potential: ,11,325049.67,0,,,,,,,,,,
Group 2 Medium Potential: ,44,285248.95,0,,,,,,,,,,
Group 2 High Potential: ,24,254696.5,0,,,,,,,,,,
Group 3 Medium Potential: ,33,41317.72,29,,,,,,,,,,
Group 2 Low Potential: ,3,20814.5,0,,,,,,,,,,
Group 3 High Potential: ,16,7579.14,0,,,,,,,,,,
Group 3 Low Potential: ,81,1064.7,57,,,,,,,,,,
Totals,230,1711828.84,86,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | 1101107.33 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1003541,Hillsdale Home-Alder and Tweed,DESIGN,DESIGN_FIRM,85117.79,134759.77,92,86,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/15/2020,FALSE,75.5,FALSE
1008673,Alice Lane Home Collection,DESIGN,DESIGN_FIRM,72514.3,71236.73,42,36,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/17/2020,FALSE,73.4,FALSE
1036116,Bri Duncan Design,DESIGN,DESIGN_FIRM,0.0,67150.0,0,11,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/22/2025,TRUE,65.1,FALSE
